Chain Name,Article ID,Chain & Article Combination,Article DESC,FG,MRP,VLCC Category,VLCC Sub Category,
2,108017342,Big Bazaar108017342,Nourishing & Silky Shine Shampoo 350Ml (B1G1),F0321-002,295,Hair Care,Shampoo,
2,109001436,Big Bazaar109001436,Wild Turmeric Face Wash 80Ml,F0233-001,148,Skin Care,Face Wash,
2,109001453,Big Bazaar109001453,Clear Tan Fruits Face Pack New,F0244-006,235,SunCare,SunCare,
2,109001465,Big Bazaar109001465,Snigdha Skin Whitening Day Crm,F0215-001,275,Skin Care,Snighda,
2,1001638577,Big Bazaar1001638577,Vlcc 7X Ultra Whitening & Brightening Charcoal Peel Off Mask,F0525-001,348,Skin Care,Charcoal,
2,109001472,Big Bazaar109001472,Vlcc Anti Acne Gel Sp.Skn 50G,,,Others,Others,
2,109001497,Big Bazaar109001497,Protein Conditioning Shampoo200 Ml,,,Hair Care,Shampoo,
2,109001501,Big Bazaar109001501,Vlcc Henna Set Of 2 – 240G,T0291-001,99,Hair Care,Hair Color,
2,109001518,Big Bazaar109001518,Hair Strengthening Oil 100 Ml,F0055-001,400,Hair Care,Oil,
2,109001523,Big Bazaar109001523,Moisturising Sun Block Cream Spf 25,,,SunCare,SunCare,
2,109001524,Big Bazaar109001524,Oil Free Sun Screen Gel Spf15New,,,SunCare,SunCare,
2,109001526,Big Bazaar109001526,Vlcc Slimmers Honey Bt 250G,,,Others,Others,
2,109001528,Big Bazaar109001528,Vlcc Slimmers Isabgol Pineapple 100G,,,Others,Others,
2,300164781,Big Bazaar300164781,Hair Fall Repair Oil 100Ml,F0056-001,155,Hair Care,Oil,
2,300310617,Big Bazaar300310617,Skin Tightening Facial Kit,F0088-004,499,Facial Kits,Regular kit,
2,300310618,Big Bazaar300310618,Instaglow Facial Kit,F0089-006,499,Facial Kits,Regular kit,
2,300337354,Big Bazaar300337354,Dtan Facial Kit,F0091-005,499,Facial Kits,Regular kit,
2,300352540,Big Bazaar300352540,Almond Under Eye Cream,F0169-001,240,Skin Care,Creams,
2,300397868,Big Bazaar300397868,Manicure Pedicure Kit,F0049-002,500,Foot Care Kit,Foot Care Kit,
2,300423638,Big Bazaar300423638,Shape Up Bust Firming Creamnew,,,Shape UP,Shape UP,
2,300452928,Big Bazaar300452928,Pearl Single Facial Kit,F0099-016,250,Facial Kits,Single Kit,
2,300452929,Big Bazaar300452929,Vlcc Depig Fairness Facial,,,Facial Kits,Single Kit,
2,300465603,Big Bazaar300465603,Fair+Glow Sun Screen Lotion Spf20 100 Ml,F0428-001,250,SunCare,SunCare,
2,300465604,Big Bazaar300465604,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 100 Gm,F0431-001,310,SunCare,SunCare,
2,300466041,Big Bazaar300466041,Vlcc Kajal 2.5 Gm,T0001-003,155,EyeCare,EyeCare,
2,300467072,Big Bazaar300467072,Sandal Cleansing Milk 100Ml,F0214-001,170,Skin Care,Cleanser,
2,300467073,Big Bazaar300467073,Melia Face Wash 80Ml,F0199-001,140,Skin Care,Face Wash,
2,300467075,Big Bazaar300467075,Indian Berberry Face Scrub,F0194-001,250,Skin Care,Scrub,
2,300467076,Big Bazaar300467076,Rose Water Toner 100Ml,F0212-001,170,Skin Care,Toner,
2,300467220,Big Bazaar300467220,Mud  Face  Pack,F0201-001,270,Skin Care,Pack,
2,300467418,Big Bazaar300467418,Snigdha Skin Whitening Fc/Mask,,,Skin Care,Snighda,
2,300467419,Big Bazaar300467419,Vlcc Saffron Massage Gel 50M,,,Others,Others,
2,300467457,Big Bazaar300467457,Punarnava Astringent 100Ml,F0207-001,170,Skin Care,Astringent,
2,300467459,Big Bazaar300467459,Pista Massage Cream 50G,F0204-001,275,Skin Care,Creams,
2,300467461,Big Bazaar300467461,Liquorice Cold Cream 50G,F0198-003,145,Skin Care,Creams,
2,300467464,Big Bazaar300467464,Lavang Moisturiser 100Ml,F0196-001,170,Skin Care,Moisturiser,
2,300467465,Big Bazaar300467465,Honey Moisturiser  100Ml,F0193-005,260,Skin Care,Moisturiser,
2,300467478,Big Bazaar300467478,Vlcc Wheat Cream- Skin Tightening 50Gm,,,Skin Care,Anti Aging,
2,300475688,Big Bazaar300475688,Shape Up Slimming Oil 200 Ml,,,Shape UP,Shape UP,
2,300482734,Big Bazaar300482734,Clear Tan Fruits Face Pack New,F0244-006,235,SunCare,SunCare,
2,300482735,Big Bazaar300482735,Pedi Glow Foot Care Kit,F0048-001,395,Foot Care Kit,Foot Care Kit,
2,300482736,Big Bazaar300482736,Gold Facial Kit 6,,,Facial Kits,Premium Kit,
2,300513397,Big Bazaar300513397,Shape Up Waist & Tummy Trimgel 200 Ml,,,Shape UP,Shape UP,
2,300528304,Big Bazaar300528304,Silver Facial Kit 6,,,Facial Kits,Premium Kit,
2,300589186,Big Bazaar300589186,Dandruff Control Shampoo 200Ml,,,Hair Care,Shampoo,
2,300589237,Big Bazaar300589237,Dandruff Care & Control Shampoo 350Ml (B1G1),F0320-002,295,Hair Care,Shampoo,
2,300589239,Big Bazaar300589239,Hair Fall Repair Shampoo 200Ml,,,Hair Care,Shampoo,
2,300589240,Big Bazaar300589240,Hair Fall Control Shampoo 350Ml (B1G1),F0319-002,295,Hair Care,Shampoo,
2,300589241,Big Bazaar300589241,Aloevera Soothing Body Lotion 200 Ml,,,Skin Care,Lotion,
2,300603129,Big Bazaar300603129,Rose Face Scrub 80G,F0210-001,180,Skin Care,Scrub,
2,300603130,Big Bazaar300603130,Fruits Facial Kit,F0387-002,499,Facial Kits,Regular kit,
2,300651163,Big Bazaar300651163,Insta Glow Bleach Pack 21G,F0031-001,65,Bleach,Bleach,
2,300651165,Big Bazaar300651165,Vlcc Insta Glow Qxygen 220 Gm,,,Bleach,Bleach,
2,300651208,Big Bazaar300651208,Shape Up Waist & Tummy Trimgel 100 Ml,,,Shape UP,Shape UP,
2,300677161,Big Bazaar300677161,Vlcc Cond Hair Fall Repair 100Ml,,,Hair Care,Conditioner,
2,300693708,Big Bazaar300693708,Gold Single Facial Kit,F0097-018,250,Facial Kits,Single Kit,
2,300696585,Big Bazaar300696585,Anti Tan Skin Lightening Facewash New,,,SunCare,SunCare,
2,300696628,Big Bazaar300696628,Diamond Single Facial Kit,F0095-020,350,Facial Kits,Single Kit,
2,300697030,Big Bazaar300697030,Vlcc Shapeup Body Firming Showergel 180M,,,Shape UP,Shape UP,
2,300710636,Big Bazaar300710636,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 50 Gm,F0432-001,210,SunCare,SunCare,
2,300710644,Big Bazaar300710644,Gold Radiance Peel-Off Mask 80,,,Skin Care,Mask,
2,300710649,Big Bazaar300710649,Gold Polishing Face Scrub 80G,,,Skin Care,Scrub,
2,300710658,Big Bazaar300710658,De Tan Spf 50 Sunscreen Gel Crème,F0440-001,415,SunCare,SunCare,
2,300710667,Big Bazaar300710667,Surya Sandal Sun Block Lotion Spf 20 60 Gm,,,SunCare,SunCare,
2,300710677,Big Bazaar300710677,3D Youth Boost Spf40 Sunscreen Gel Crème 100 Gm,F0438-001,395,SunCare,SunCare,
2,300737885,Big Bazaar300737885,Fade Tan Skin Polishingface Scrub,,,SunCare,SunCare,
2,300737897,Big Bazaar300737897,Anti Tan Single Facial Kit,F0094-016,250,Facial Kits,Single Kit,
2,300775197,Big Bazaar300775197,Insta Glow Gold Bleach 30 Gm,F0034-001,65,Bleach,Bleach,
2,300775198,Big Bazaar300775198,Insta Glow Herbal Bleach 27Gm,F0032-001,55,Bleach,Bleach,
2,300775202,Big Bazaar300775202,Papaya Fruit Single Facial Kit,F0096-014,250,Facial Kits,Single Kit,
2,300793646,Big Bazaar300793646,Shape Up Slimming Oil 100 Ml,,,Shape UP,Shape UP,
2,300793678,Big Bazaar300793678,Party Glow Single Facial Kit,F0098-014,250,Facial Kits,Single Kit,
2,300808936,Big Bazaar300808936,Vlcc Hrclr Heena Natural 1 Blk 117.6G,,,Hair Care,Hair Color,
2,300812360,Big Bazaar300812360,Vlcc Fw Acne Care Oil Cont 50G,,,Others,Others,
2,300812368,Big Bazaar300812368,Vlcc Fw Daily Protect Anti Pollution 50G,,,Others,Others,
2,300812397,Big Bazaar300812397,Vlcc Sunscreen Daily Protect Spf15 100Ml,,,SunCare,SunCare,
2,300812408,Big Bazaar300812408,Vlcc Fw Insta Fair&Glw Clr Skin 50G,,,Others,Others,
2,300826015,Big Bazaar300826015,Vlcc Almond Body Lotion 200 Ml,,,Skin Care,Lotion,
2,300826032,Big Bazaar300826032,Mulberry Lightening  Body Lotion 200 Ml,,,Skin Care,Lotion,
2,300826033,Big Bazaar300826033,Mulberry Lightening  Body Lotion 350 Ml,,,Skin Care,Lotion,
2,300826034,Big Bazaar300826034,Almond Nourishing Body Lotion 350 Ml,F0162-005,275,Skin Care,Almond Lotion,
2,300826041,Big Bazaar300826041,Aloevera Soothing Body Lotion 350 Ml,,,Skin Care,Lotion,
2,300826042,Big Bazaar300826042,Vlcc Cocoa Butter Body Lotion 350 Ml,,,Skin Care,Lotion,
2,300826048,Big Bazaar300826048,Vlcc Cocoa Butter Body Lotion 200 Ml,F0158-004,155,Skin Care,Lotion,
2,300846392,Big Bazaar300846392,Vlcc Henna Set Of 2 – 240G,T0291-001,99,Hair Care,Hair Color,
2,300898106,Big Bazaar300898106,Water Resistant Spf60 Sunscreen Gel Crème,F0441-001,525,SunCare,SunCare,
2,300903641,Big Bazaar300903641,Cherry Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,300903649,Big Bazaar300903649,Enbrighten Tinted Sunscreensoufflθ Spf 25,,,SunCare,SunCare,
2,300949225,Big Bazaar300949225,Hair Smoothening Shampoo 200Ml,,,Hair Care,Shampoo,
2,300949235,Big Bazaar300949235,Hair Smoothening Shampoo 350Ml,,,Hair Care,Shampoo,
2,300949258,Big Bazaar300949258,Vlcc Cond Dandruf Control Def Tube 100Ml,,,Hair Care,Conditioner,
2,300959794,Big Bazaar300959794,Mandarin & Tomato Fairness Face Wash,F0187-001,250,Skin Care,Face Wash,
2,300959795,Big Bazaar300959795,Pineapple & Papaya Gentleexfoliating Scrub,,,Skin Care,Scrub,
2,300959808,Big Bazaar300959808,Gold Polishing Face Scrub 80G,,,Skin Care,Scrub,
2,300959810,Big Bazaar300959810,Cacti & Litchi Gentlehydratingface Wash,,,Skin Care,Face Wash,
2,300959811,Big Bazaar300959811,Alpine Mint & Tea Tree Gentle Refreshing Face Wash,F0185-001,250,Skin Care,Face Wash,
2,300959812,Big Bazaar300959812,Witch Hazel & Rose Watergentle Face Wash,,,Skin Care,Face Wash,
2,300959813,Big Bazaar300959813,Witch Hazel & Rose Watergentle Face Wash,,,Skin Care,Face Wash,
2,300959815,Big Bazaar300959815,Liquorice & Fenugreek Naturalfairness Face Mask,,,Skin Care,Mask,
2,300959821,Big Bazaar300959821,Pomegranate & Aloe Vera Gentleexfoliating Scrub,,,Skin Care,Scrub,
2,300959823,Big Bazaar300959823,Vlcc Fc Strawberry&Waterlily Tube 100Ml,,,Skin Care,Scrub,
2,300959953,Big Bazaar300959953,Orange Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,300959989,Big Bazaar300959989,Strawberry Lip Balm 4.5 Gm,T0036-005,125,Lip Care,Lip Care,
2,1000001644,Big Bazaar1000001644,Silver Single Facial Kit,,,Facial Kits,Single Kit,
2,1000001683,Big Bazaar1000001683,Pearl Facial Kit,,,Facial Kits,Premium Kit,
2,1000001711,Big Bazaar1000001711,Diamond Facial Kit 6,,,Facial Kits,Premium Kit,
2,1000002043,Big Bazaar1000002043,Maximum Sun Block Lotion Spf7060 Gm,,,SunCare,SunCare,
2,1000038699,Big Bazaar1000038699,Manicure Pedicure Kit,F0049-002,500,Foot Care Kit,Foot Care Kit,
2,1000061204,Big Bazaar1000061204,Snigdha Skin Whitening Fc/Wash,F0167-001,165,Skin Care,Snighda,
2,1000061205,Big Bazaar1000061205,Snigdha Skin Whitening Night Cream-50 Gm,F0216-001,275,Skin Care,Snighda,
2,1000061206,Big Bazaar1000061206,Snigdha Skin Whitening Spot Fading Serum-40 Ml,F0220-001,475,Skin Care,Snighda,
2,1000061214,Big Bazaar1000061214,Snigdha Skin Whitening Fc/Mask,,,Skin Care,Snighda,
2,1000061215,Big Bazaar1000061215,Anti Aging Day Creamspf 25 -50 Gm,F0217-001,450,Skin Care,Anti Aging,
2,1000061216,Big Bazaar1000061216,Anti Aging Night Cream- 50 Gm,F0218-001,450,Skin Care,Anti Aging,
2,1000061217,Big Bazaar1000061217,Anti Aging Vitalift Serum- 40 Ml,F0206-001,475,Skin Care,Anti Aging,
2,1000061218,Big Bazaar1000061218,De-Pigmentation Face Mask80 Gm,,,Skin Care,Depigmentation,
2,1000061219,Big Bazaar1000061219,De-Pigmentation Day Creamwith Spf 25,,,Skin Care,Depigmentation,
2,1000061220,Big Bazaar1000061220,De-Pigmentation Night Cream- 50 Gm,,,Skin Care,Depigmentation,
2,1000062327,Big Bazaar1000062327,Vlcc Fc Active Light Mn Mint Lf&Mb 100Ml,,,Mens Range,Mens Range,
2,1000062351,Big Bazaar1000062351,Vlcc Sc Active Light Men Mulberry 100Ml,,,Mens Range,Mens Range,
2,1000062360,Big Bazaar1000062360,Vlcc Ayush Men Face Wash 100 Gm,F0404-001,140,Mens Range,Mens Range,
2,1000097196,Big Bazaar1000097196,Insta Glow Diamond Bleach-30 Gm,F0033-001,75,Bleach,Bleach,
2,1000098036,Big Bazaar1000098036,Vlcc Insta Glow Qxygen 51.4 Gm,F0035-001,95,Bleach,Bleach,
2,1000098045,Big Bazaar1000098045,Vlcc Insta Glow Diamond 60Gm,F0037-001,125,Bleach,Bleach,
2,1000098051,Big Bazaar1000098051,Insta Glow Herbal Bleach 54 Gm,F0036-001,95,Bleach,Bleach,
2,1000098113,Big Bazaar1000098113,Insta Glow Gold Bleach 60 Gm,F0038-001,115,Bleach,Bleach,
2,1000099195,Big Bazaar1000099195,Anti Tan Facial Kit 5 Session,F0355-001,600,Facial Kits,Regular kit,
2,1000099225,Big Bazaar1000099225,Papaya Fruit Facial Kit 5 Session,F0356-001,600,Facial Kits,Regular kit,
2,1000099243,Big Bazaar1000099243,Party Glow Facial Kit 5 Session,F0357-001,600,Facial Kits,Regular kit,
2,1000209038,Big Bazaar1000209038,Antitan Body Lotion Spf 25 150Ml B1G1-Mt,F0313-003,295,SunCare,Anti Tan Lotion,
2,1000209063,Big Bazaar1000209063,Mulberry & Rose Facewash 150Ml B1G1-Mt,F0311-003,190,Skin Care,B1G1 FWs,
2,1000221814,Big Bazaar1000221814,Vlcc Diamond&Gold Ultra Glow Facial Kit,,,Facial Kits,Regular kit,
2,1000221815,Big Bazaar1000221815,Vlcc Wonder Whitening Kit,,,Facial Kits,Regular kit,
2,1000233429,Big Bazaar1000233429,Vlcc Bodyglow Mois Spf35 Trehalose 100Ml,,,Others,Others,
2,1000233559,Big Bazaar1000233559,Vlcc Fw Spring Papaya Enzyme Mask 100G,,,Others,Others,
2,1000233579,Big Bazaar1000233579,Vlcc Fw Spring Whitening Face Pack 100G,,,Others,Others,
2,1000233657,Big Bazaar1000233657,Vlcc Sc Spring Face Sculpt Day Crm 40G,,,Others,Others,
2,1000233666,Big Bazaar1000233666,Vlcc Fw Spring Dly Shine Nours Mask 100G,,,Others,Others,
2,1000233678,Big Bazaar1000233678,Vlcc Sc Brighteng Corect Night Treat 40G,,,Others,Others,
2,1000233685,Big Bazaar1000233685,Vlcc Fc Exotc Jewel Scrub Luffa Frt 100G,,,Others,Others,
2,1000233696,Big Bazaar1000233696,Vlcc Fw Spring Shine Con Clarifyng 100Ml,,,Others,Others,
2,1000233697,Big Bazaar1000233697,Vlcc Fw Spring Whitening Face Scrub 100G,,,Others,Others,
2,1000233698,Big Bazaar1000233698,Vlcc Sc Sprg Whitening Day Crm Spf20 40G,,,Others,Others,
2,1000233702,Big Bazaar1000233702,Vlcc Bodyglow Oil Fr High Protectn 100Ml,,,Others,Others,
2,1000233714,Big Bazaar1000233714,Vlcc Fw Moisture Lock Facial Bx 100Ml,,,Others,Others,
2,1000233715,Big Bazaar1000233715,Vlcc Fw Whitening Lemon Extract Bx 100Ml,,,Others,Others,
2,1000233741,Big Bazaar1000233741,Vlcc Fw Spring Exotic Jewel Mask 100G,,,Others,Others,
2,1000233742,Big Bazaar1000233742,Vlcc Sc Maximum Mois Night Crm Bx 40G,,,Others,Others,
2,1000233750,Big Bazaar1000233750,Vlcc Fw Skin Soothe Toner Bx 100Ml,,,Others,Others,
2,1000233751,Big Bazaar1000233751,Vlcc Sc Maximum Mois Day Crm Bx 40G,,,Others,Others,
2,1000233760,Big Bazaar1000233760,Vlcc Sc Sprng Enbrighten Night Treat 40G,,,Others,Others,
2,1000233770,Big Bazaar1000233770,Vlcc Sc Sprg Brght Correct Day Treat 40G,,,Others,Others,
2,1000233780,Big Bazaar1000233780,Vlcc Sc Spring Enbrighten Day Treat 40G,,,Others,Others,
2,1000233781,Big Bazaar1000233781,Vlcc Sc Spring Whitening Night Crm 40G,,,Others,Others,
2,1000260622,Big Bazaar1000260622,Neem Facewash 150Ml B1G1-C&C,F0306-004,190,Skin Care,B1G1 FWs,
2,1000469216,Big Bazaar1000469216,Turmeric & Berberris Facewash 150Ml B1G1-Mt,F0307-004,190,Skin Care,B1G1 FWs,
2,1000487916,Big Bazaar1000487916,Shape Up Body Sculpting Cellulite Reduction Oil 100Ml,,,Shape UP,Shape UP,
2,1000487917,Big Bazaar1000487917,Shape Up Body Sculpting Cellulite Reduction Gel 100Gm,,,Shape UP,Shape UP,
2,1000487918,Big Bazaar1000487918,Rose Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,1000487919,Big Bazaar1000487919,Peach Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,1000488021,Big Bazaar1000488021,Plain Almond Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,1000530253,Big Bazaar1000530253,Vlcc Depig Fairness Facial,,,Facial Kits,Single Kit,
2,1000599673,Big Bazaar1000599673,Tulsi Acne Clear Face Wash 150 Ml,F0328-003,235,Skin Care,B1G1 FWs,
2,1000634383,Big Bazaar1000634383,Mango Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,1000634384,Big Bazaar1000634384,Honey Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
2,1000765392,Big Bazaar1000765392,Snigdha Skin Whitening Night Cream-50 Gm,F0216-001,275,Skin Care,Snighda,
2,1000845106,Big Bazaar1000845106,Shape Up 10 In 1 Oil 60 Ml,,,Shape UP,Shape UP,
2,1000845125,Big Bazaar1000845125,Deep Pore Cleansing & Brightening Haldi & Tulsi Face Wash,F0365-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
2,1000845139,Big Bazaar1000845139,Double Power Double Neem Skin Purifying Face Wash,F0369-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
2,1000845176,Big Bazaar1000845176,Natural Fairness Kesar Chandan Face Wash,F0371-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
2,1000845340,Big Bazaar1000845340,Skin Brightening Haldi & Chandan Face Wash,F0367-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
2,1000857867,Big Bazaar1000857867,Natural Fairness Chandan & Kesar Facial Kit,F0386-001,200,Facial Kits,Ayurveda Single Kit,
2,1000857868,Big Bazaar1000857868,Deep Pore Cleansing & Brightening Haldi Tulsi Facial Kit,F0383-001,200,Facial Kits,Ayurveda Single Kit,
2,1000857885,Big Bazaar1000857885,Skin Purifying Double Power Double Neem Facial Kit,F0384-001,200,Facial Kits,Ayurveda Single Kit,
2,1000857886,Big Bazaar1000857886,Skin Brightening Haldi & Chandan Facial Kit,F0385-001,200,Facial Kits,Ayurveda Single Kit,
2,1000857903,Big Bazaar1000857903,Vlcc Platinum Facial Kit,,,Facial Kits,Single Kit,
2,1000934068,Big Bazaar1000934068,Vlcc Slmr Grn Tea Antoxnt 10T,,,Others,Others,
2,1000934103,Big Bazaar1000934103,Vlcc Slmr Grn Tea Strs Rlf 10,,,Others,Others,
2,1000934108,Big Bazaar1000934108,Vlcc Slmr Grn Tea Slmng 10Tb,,,Others,Others,
2,1000934183,Big Bazaar1000934183,Vlcc Slmr Grn Tea Antioxnt 25,,,Others,Others,
2,1000934187,Big Bazaar1000934187,Vlcc Slmr Grn Tea Strs Rlf 25,,,Others,Others,
2,1000934202,Big Bazaar1000934202,Vlcc Slmr Grn Tea Slmng 25Tb,,,Others,Others,
2,1000934206,Big Bazaar1000934206,Vlcc Slmr Grn Tea Antioxnt 50,,,Others,Others,
2,1000934241,Big Bazaar1000934241,Vlcc Slmr Grn Tea Slmng 50Tb,,,Others,Others,
2,1000934246,Big Bazaar1000934246,Vlcc Slmr Grn Tea Str Rlf 50T,,,Others,Others,
2,1000934301,Big Bazaar1000934301,Vlcc Slimmers Stevia 60T+10T,,,Others,Others,
2,1001105023,Big Bazaar1001105023,Vlcc Sunscreen Spf 50 40Ml,,,SunCare,SunCare,
2,1001105810,Big Bazaar1001105810,Safecare Aromatherapy Oil 10Ml,,,Others,Others,
2,1001110856,Big Bazaar1001110856,Anti Tan Skin Lightening Facewash New,,,SunCare,SunCare,
2,1001112675,Big Bazaar1001112675,Vlcc Instant Whiten Crm 200G,,,Others,Others,
2,1001112677,Big Bazaar1001112677,Vlcc Sun Block Gel 25 Spf 40Ml,,,SunCare,SunCare,
2,1001125543,Big Bazaar1001125543,Hair Fall Repair Shampoo 200Ml,,,Hair Care,Shampoo,
2,1001144975,Big Bazaar1001144975,Vlcc Enchanting Eyes Kohl Blue.3Gm,,,EyeCare,EyeCare,
2,1001175368,Big Bazaar1001175368,De- Pigmentation Serum- 40 Ml,,,Skin Care,Depigmentation,
2,1001175369,Big Bazaar1001175369,Papaya & Apricot Scrub 80G,F0202-001,180,Skin Care,Scrub,
2,1001175370,Big Bazaar1001175370,Diamond Polishing Face Scrub 80G,,,Skin Care,Scrub,
2,1001253799,Big Bazaar1001253799,Fade Tan Skin Polishingface Scrub,,,SunCare,SunCare,
2,1002105968,1002105968Big Bazaar,Activated Bamboo Charcoal Facial Kit,F0609-001,300,Facial Kits,Charcoal Kit,
33,100014098,CP Wholesale100014098,Vlcc Henna Set Of 2 – 240G,T0291-001,99,Hair Care,Hair Color,
33,100014119,CP Wholesale100014119,Nourishing & Silky Shine Shampoo 350Ml (B1G1),F0321-002,295,Hair Care,Shampoo,
33,100014151,CP Wholesale100014151,Gold Single Facial Kit,F0097-018,250,Facial Kits,Single Kit,
33,100014178,CP Wholesale100014178,Pearl Single Facial Kit,F0099-016,250,Facial Kits,Single Kit,
33,100015015,CP Wholesale100015015,Diamond Single Facial Kit,F0095-020,350,Facial Kits,Single Kit,
33,100015031,CP Wholesale100015031,Instaglow Facial Kit,F0089-006,499,Facial Kits,Regular kit,
33,100015058,CP Wholesale100015058,Almond Nourishing Body Lotion 350 Ml,F0162-005,275,Skin Care,Almond Lotion,
33,100015074,CP Wholesale100015074,Antitan Body Lotion Spf 25 150Ml B1G1-Mt,F0313-003,295,SunCare,Anti Tan Lotion,
33,100015091,CP Wholesale100015091,Turmeric & Berberris Facewash 150Ml B1G1-Mt,F0307-004,190,Skin Care,B1G1 FWs,
33,100015111,CP Wholesale100015111,Mulberry & Rose Facewash 150Ml B1G1-Mt,F0311-003,190,Skin Care,B1G1 FWs,
33,100015138,CP Wholesale100015138,Neem Facewash 150Ml B1G1-C&C,F0306-004,190,Skin Care,B1G1 FWs,
33,100026056,CP Wholesale100026056,Gold Single Facial Kit,F0097-018,250,Facial Kits,Single Kit,
33,100026072,CP Wholesale100026072,Diamond Single Facial Kit,F0095-020,350,Facial Kits,Single Kit,
33,100028107,CP Wholesale100028107,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 50 Gm,F0432-001,210,SunCare,SunCare,
33,103666109,CP Wholesale103666109,Insta Glow Gold Bleach 60 Gm,F0038-001,115,Bleach,Bleach,
33,103666703,CP Wholesale103666703,Fair+Glow Sun Screen Lotion Spf20 100 Ml,F0428-001,250,SunCare,SunCare,
33,103666747,CP Wholesale103666747,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 50 Gm,F0432-001,210,SunCare,SunCare,
33,103667576,CP Wholesale103667576,Hair Fall Control Shampoo 350Ml (B1G1),F0319-002,295,Hair Care,Shampoo,
33,103667578,CP Wholesale103667578,Vlcc Insta Glow Qxygen 51.4 Gm,F0035-001,95,Bleach,Bleach,
33,103669122,CP Wholesale103669122,Diamond Single Facial Kit,F0095-020,350,Facial Kits,Single Kit,
33,103669597,CP Wholesale103669597,Vlcc Insta Glow Diamond 60Gm,F0037-001,125,Bleach,Bleach,
33,103683856,CP Wholesale103683856,Tulsi Acne Clear Face Wash 150 Ml,F0328-003,235,Skin Care,B1G1 FWs,
Dabur New U,30071943,Dabur New U30071943,Vlcc Ultimo Blends Charcl Face Wash 100Gm,F0607-001,225,Skin Care,Charcoal FW,
Dabur New U,30004423,Dabur New U30004423,Hair Strengthening Oil 100 Ml,F0055-001,400,Hair Care,Oil,
Dabur New U,30004431,Dabur New U30004431,Clear Tan Fruits Face Pack New,F0244-006,235,SunCare,SunCare,
Dabur New U,30004433,Dabur New U30004433,Mud  Face  Pack,F0201-001,270,Skin Care,Pack,
Dabur New U,30004438,Dabur New U30004438,Melia Face Wash 80Ml,F0199-001,140,Skin Care,Face Wash,
Dabur New U,30004440,Dabur New U30004440,Sandal Cleansing Milk 100Ml,F0214-001,170,Skin Care,Cleanser,
Dabur New U,30004442,Dabur New U30004442,Indian Berberry Face Scrub,F0194-001,250,Skin Care,Scrub,
Dabur New U,30004445,Dabur New U30004445,Vlcc Aa Gel-Face Mass For O S 50 Gm,,,Others,Others,
Dabur New U,30004449,Dabur New U30004449,Vlcc Rejuv Gel-Skin Tight 50 Gm(X),,,Others,Others,
Dabur New U,30004451,Dabur New U30004451,Oil Free Sun Screen Gel Spf15New,,,SunCare,SunCare,
Dabur New U,30004453,Dabur New U30004453,Punarnava Astringent 100Ml,F0207-001,170,Skin Care,Astringent,
Dabur New U,30004457,Dabur New U30004457,Pista Massage Cream 50G,F0204-001,275,Skin Care,Creams,
Dabur New U,30004458,Dabur New U30004458,Pista Massage Cream 50G,F0204-001,275,Skin Care,Creams,
Dabur New U,30004459,Dabur New U30004459,Snigdha Skin Whitening Day Crm,F0215-001,275,Skin Care,Snighda,
Dabur New U,30004463,Dabur New U30004463,Moisturising Sun Block Cream Spf 25,,,SunCare,SunCare,
Dabur New U,30004464,Dabur New U30004464,Fair+Glow Sun Screen Lotion Spf20 100 Ml,F0428-001,250,SunCare,SunCare,
Dabur New U,30004469,Dabur New U30004469,Shape Up Slimming Oil 100 Ml,,,Shape UP,Shape UP,
Dabur New U,30004470,Dabur New U30004470,Shape Up Slimming Oil 200 Ml,,,Shape UP,Shape UP,
Dabur New U,30004471,Dabur New U30004471,Vlcc Henna Set Of 2 – 240G,T0291-001,99,Hair Care,Hair Color,
Dabur New U,30004472,Dabur New U30004472,Vlcc Shower Gel Rejuvenating. - 200Ml(X),,,Others,Others,
