ID,Chain Name,DC Address,Customer Code
298,Future Retail Limited,"BB-KANPUR-ANCHOR STORE ANCHOR STORE,RAVE@MOTIENTERTAINMENT PVT.LTD.,117/K/13 GUTAIYA,KANPUR. KANPUR-208005,Uttar Pradesh",
299,Future Retail Limited,"BB-AHMEDNAGAR-MANMAD HIGHWAY PLOT NO 102/2/1+2, SARDA MILL SAWEDI AHMEDNAGAR - MANMAD HIGHWAY AHMEDNAGAR- 414003,Maharashtra",MH/0309-001
300,Future Retail Limited,"BB-AMBALA-RAI MARKET-MINERVA COMPLEX MINERVA COMPLEX, PLOT NO 180/123 RAI MARKET, AMBALA CANTT. AMBALA-133001,Haryana",HR/0136-001
301,Future Retail Limited,"BB-BHIWADI-ALWAR ROAD-MF GENESIS MALL, ALWAR BYPASS ROAD,BHIWADI, BHIWADI- 301019,Rajasthan",
302,Future Retail Limited,"BB-BHUBANESWAR-FORUM FORUM,89, KHARVEL NAGAR UNIT - III,BHUBANESWAR-751001,Orissa",
303,Future Retail Limited,"BB-GANGTOK-NAMNANG COMMERCIAL C0MPLEX NAMNANG COMMERCIAL COMPLEX NAMNANG ROAD GANGTOK-737101,Sikkim",
307,Future Retail Limited,"BB-GURGAON-OMAXE SOHNA ROAD-ED OMAXE CITY CENTER, SECTOR 49, SOHNA ROAD, GURGAON-122003,Haryana",HR/0100-004
308,Future Retail Limited,"BB-GURGAON-SAHARA MALL SAHARA MALL,MAIN MEHRAULI GURGAON ROAD, SECTOR-28, CHAKARPUR,GURGAON, HARYANA GURGAON-122016,Haryana",HR/0100-002
309,Future Retail Limited,"BB-GHAZIABAD-EDM-KAUSHAMBI EDM, PLOT NO .1 KAUSHAMBI. GHAZIABAD-201010,Uttar Pradesh",UP/0228-001
310,Future Retail Limited,"BB-GHAZIABAD-ADITYA MALL BIG BAZAAR,PLOT NO.3,VAIBHAV KHAND INDIRAPURAM,GHAZIABAD GHAZIABAD-201012,Uttar Pradesh",UP/0228
311,Future Retail Limited,"BB-GURGAON-AMBI MALL AMBIENCE ISLAND AT NH-8, VILLAGE NATHUPUR, TEHSIL & DISTT. GURGAON GURGAON-122001,Haryana",HR/0100-001
312,Future Retail Limited,"BB-GURGAON-SPAZEDGE MALL-SOHNA ROAD SPAZEDGE MALL, SECTOR-47, GURGAON SOHNA ROAD GURGAON-122001,Haryana",HR/0100-003
313,Future Retail Limited,"BB-ICHALKARANJI-SANGLI ROAD FVRL BIG BAZAAR,FORTUNE PLAZA GATE NO 650/B,SANGLI ROAD ICHALKARANJI-416115,Maharashtra",MH/0309-002
314,Future Retail Limited,"BB-JALGAON-KHANDESH CENTRAL KHANDESH CENTRAL, NEHRU CHOWK M G ROAD JALGAON-425001,Maharashtra",MH/0309-0015
315,Future Retail Limited,"BB-KANPUR-KIDWAI NAGAR BIG BAZAAR,PLOT NO.9,BLOCK""O"" SCHEME-2,KIDWAI NAGAR,KANPUR KANPUR-208002,Uttar Pradesh",
316,Future Retail Limited,"BB-KERALA-KASARGOD OPP. MUNCIPAL NEW BUS STAND KASARGOD KASARAGOD-671121,Kerala",KL/0050-003
