City,State,CFA Location,Zone
BHEEMAVARAM,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
GUNTUR,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
KADAPA,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
KAKINADA,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
KURNOOL,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
NELLORE,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
RAJAHMUNDARY,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
RAJAHMUNDRY,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
"TANUKU,",ANDHRA PRADESH,VIJAYAWADA,CENTRAL
TIRUPATI,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
VIJAYAWADA,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
VIJAYWADA,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
VISAKHAPATNAM,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
VISHAKAPATNAM,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
VIZAG,ANDHRA PRADESH,VIJAYAWADA,CENTRAL
BHIMAVARAM,ANDHRA PRADESH ,VIJAYAWADA,CENTRAL
DIBRUGARH,ASSAM,GUWAHATI,EAST
GUWAHATI,ASSAM,GUWAHATI,EAST
GAYA,BIHAR,PATNA,EAST
HAJIPUR,BIHAR,PATNA,EAST
MUZAFFARPUR,BIHAR,PATNA,EAST
NALANDA BIHAR SHARIFF,BIHAR,PATNA,EAST
PATNA,BIHAR,PATNA,EAST
CHANDIGARH,CHANDIGARH,CHANDIGARH,NORTH
BHILAI,CHHATTISGARH,RAIPUR,CENTRAL
BILASPUR,CHHATTISGARH,RAIPUR,CENTRAL
RAI CHATTISGARH,CHHATTISGARH,RAIPUR,CENTRAL
RAIPUR,CHHATTISGARH,RAIPUR,CENTRAL
DELHI,DELHI,DELHI,NORTH
NEW DELHI,DELHI,DELHI,NORTH
AHMEDABAD,GUJARAT,AHMEDABAD,WEST
ANAND,GUJARAT,AHMEDABAD,WEST
BHARUCH,GUJARAT,AHMEDABAD,WEST
BHAVNAGAR,GUJARAT,AHMEDABAD,WEST
BHUJ,GUJARAT,AHMEDABAD,WEST
GANDHIDHAM,GUJARAT,AHMEDABAD,WEST
HIMATNAGAR,GUJARAT,AHMEDABAD,WEST
JAMNAGAR,GUJARAT,AHMEDABAD,WEST
NAVSARI,GUJARAT,AHMEDABAD,WEST
RAJKOT,GUJARAT,AHMEDABAD,WEST
SURAT,GUJARAT,AHMEDABAD,WEST
VADODARA,GUJARAT,AHMEDABAD,WEST
VAPI,GUJARAT,AHMEDABAD,WEST
AMBALA,HARYANA,CHANDIGARH,NORTH
AMBALA CANT,HARYANA,CHANDIGARH,NORTH
BHIWANI,HARYANA,CHANDIGARH,NORTH
FARIDABAD,HARYANA,DELHI,NORTH
GURGAON,HARYANA,DELHI,NORTH
HISSAR,HARYANA,CHANDIGARH,NORTH
JHAJJAR,HARYANA,DELHI,NORTH
KURUKSHETRA,HARYANA,DELHI,NORTH
PANIPAT,HARYANA,CHANDIGARH,NORTH
REWARI,HARYANA,CHANDIGARH,NORTH
ROHTAK,HARYANA,CHANDIGARH,NORTH
SONIPAT,HARYANA,CHANDIGARH,NORTH
YAMUNANAGAR,HARYANA,CHANDIGARH,NORTH
BADDI,HIMACHAL PRADESH,CHANDIGARH,NORTH
MANDI,HIMACHAL PRADESH,CHANDIGARH,NORTH
SIRMOUR,HIMACHAL PRADESH,CHANDIGARH,NORTH
SOLAN,HIMACHAL PRADESH,CHANDIGARH,NORTH
JAMMU,J&K,JAMMU,NORTH
JMMU,JAMMU AND KASHMIR,JAMMU,NORTH
UDHAMPUR,JAMMU AND KASHMIR,JAMMU,NORTH
BOKARO,JHARKHAND,RANCHI,EAST
DEOGHAR,JHARKHAND,RANCHI,EAST
DHANBAD,JHARKHAND,RANCHI,EAST
JAMSHEDPUR,JHARKHAND,RANCHI,EAST
RANCHI,JHARKHAND,RANCHI,EAST
BANGALORE,KARNATAKA,BANGALORE,SOUTH
BANGLORE,KARNATAKA,BANGALORE,SOUTH
BELGAUM,KARNATAKA,BANGALORE,SOUTH
BENGALURU,KARNATAKA,BANGALORE,SOUTH
BIDAR,KARNATAKA,BANGALORE,SOUTH
DAVANGERE,KARNATAKA,BANGALORE,SOUTH
DHARWAD,KARNATAKA,BANGALORE,SOUTH
GULBARGA,KARNATAKA,BANGALORE,SOUTH
HASSAN,KARNATAKA,BANGALORE,SOUTH
HUBLI,KARNATAKA,BANGALORE,SOUTH
MANDYA,KARNATAKA,BANGALORE,SOUTH
MANGALORE,KARNATAKA,BANGALORE,SOUTH
MYSORE,KARNATAKA,BANGALORE,SOUTH
RAICHUR,KARNATAKA,BANGALORE,SOUTH
SHIMOGA,KARNATAKA,BANGALORE,SOUTH
UDUPI,KARNATAKA,BANGALORE,SOUTH
ALLAPUZHA,KERALA,KOCHI,SOUTH
ALUVA,KERALA,KOCHI,SOUTH
COCHIN,KERALA,KOCHI,SOUTH
EDAPALLY,KERALA,KOCHI,SOUTH
ERNAKULAM,KERALA,KOCHI,SOUTH
KOCHI,KERALA,KOCHI,SOUTH
THIRUVANANTHAPURAM,KERALA,KOCHI,SOUTH
THRISSUR,KERALA,KOCHI,SOUTH
BHOPAL,MADHYA PRADESH,INDORE,CENTRAL
DEWAS,MADHYA PRADESH,INDORE,CENTRAL
GWALIOR,MADHYA PRADESH,INDORE,CENTRAL
INDORE,MADHYA PRADESH,INDORE,CENTRAL
JABALPUR,MADHYA PRADESH,INDORE,CENTRAL
KATNI,MADHYA PRADESH,INDORE,CENTRAL
MAKRONIA SAGAR,MADHYA PRADESH,INDORE,CENTRAL
RATLAM,MADHYA PRADESH,INDORE,CENTRAL
REWA,MADHYA PRADESH,INDORE,CENTRAL
UJJAIN,MADHYA PRADESH,INDORE,CENTRAL
BURHANPUR,MADHYAPRADESH,INDORE,CENTRAL
AHMEDNAGAR,MAHARASHTRA,PUNE,WEST
AMRAVATI,MAHARASHTRA,PUNE,WEST
AURANGABAD,MAHARASHTRA,PUNE,WEST
KOLHAPUR,MAHARASHTRA,PUNE,WEST
LATUR,MAHARASHTRA,PUNE,WEST
MUMBAI,MAHARASHTRA,MUMBAI,WEST
NAGPUR,MAHARASHTRA,PUNE,WEST
