ID,Vendor Name,Shipping Address,Customer Code
338,VLCC Personal Care Ltd.,"CDC-THANE-BHIWANDI-KALYAN (K-1)-FOOD C-PRATHAMESH DREAM COMPLEX,(K-1) OPP.VATIKA HOTEL,KALYAN-BHIWANDI BYPASS THANE-421302,Maharashtra",MH/0285
320,VLCC Personal Care Ltd.,"BB-NAHSIK-DEOLALI-URBAN SPACE BIG BAZAAR,URBAN SPACE,PLOT NO-2, SURVEY NO 18-B,DEOLALI,NASHIK NASHIK-422101,Maharashtra",MH/0309-005
529,VLCC Personal Care Ltd.,"BB-MATHURA-AGRA ROAD-PACIFIC MALL PACIFIC MALL, PLOT NO C-1/B SITE B, AGRA ROAD MATHURA-281001,Uttar Pradesh",UP/0228-011
823,VLCC Personal Care Ltd.,"HYPERCITY-NOIDA-GARDEN GALLERIA MALL A2, SECTOR 38A, GARDEN GALLERIA GARDEN GALLERIA MALL NOIDA-201301,Uttar Pradesh",UP/0243-001
878,VLCC Personal Care Ltd.,"HYPERCITY-BENGALURU-KUNDALAHALLI GATE KUNDALAHALLI GATE,OPP-ANNAPOORNA HOTEL ITPL ROAD,NEAR BROOKE FIELD, BENGALURU-560037,Karnataka",KA/0137-020
872,VLCC Personal Care Ltd.,"CDC-RAJPURA-VILL.SHAMBHU KALAN-(BB-FOOD) KHEWAT NO 289/259,255,VILL.SHAMBHU KALAN BEHIND GIAN JYOTI GROUP OF INSTITUTIONS RAJPURA-140417,Punjab",PB/0071-001
1330,VLCC Personal Care Ltd.,"BB- BENGALURU-SOUL SPACE AREA SURV NO.36/5,MUNCIPAL NO.2028,OUTER RING RD.,DODDANKKUNDI VILLAGE,SOUL SPACE AREA BENGALURU-560037,Karnataka",KA/0137-015
828,VLCC Personal Care Ltd.,"HYPERCITY-NOIDA-LOGIX CITY CENTER LOGIX CITY CENTER,LOWER GRD FLR NR NOIDA CITY CENTRE METRO STN,SECTOR 32 NOIDA-201301,Uttar Pradesh",UP/0243
877,VLCC Personal Care Ltd.,"HYPERCITY-BENGALURU-ROYAL MEENAKSHI MALL ROYAL MEENAKSHI MALL, OPP. MEENAKSHI TEMPLE,BANNERGHATTA ROAD BENGALURU-560076,Karnataka",KA/0137-021
874,VLCC Personal Care Ltd.,"HYPERCITY-BENGALURU-INORBIT MALL INORBIT MALL, NO 75, EPIP, NEXT SATYA SAI HOSPITAL,WHITE FIELD BENGALURU-560066,Karnataka",KA/0137-023
1328,VLCC Personal Care Ltd.,"BB-BENGALURU-HEBBAL-MARUTHI ARCADE MARUTHI ARCADE, MARATHI NAGAR, NAGASHETTY HALLI, RMV II STAGE BENGALURU-560094,Karnataka",KA/0137-005
873,VLCC Personal Care Ltd.,"HYPERCITY-BENGALURU-ORION MALL ORION MALL,BRIGADE GATEWAY 26/1 DR RAJKUMAR RD,MALLESHWARAM BENGALURU-560055,Karnataka",KA/0137-022
1283,VLCC PERSONAL CARE,"RDC MALL - GZB GAUR CENTER MALL, Lower Ground Floor PLOT BRG NO A1-A4, RAJNGR DIST GHAZIABAD GHAZIABAD 201002",UP/0253
673,Vlcc Personal Care Ltd.,"Reliance Market Division Survey No 25 R W No 11 B No 1 Moghalrajpuram Vijayawada Krishna District ,, Vijayawada, Andhra Pradesh - 520010",AP/0087-0013
471,VLCC PERSONAL CARE LTD,"AXIS. ACTION AREA IC PLOT No CF 9 NEW TOWN, RAJARHAT KOLKATA-700156",WB/0102-002
812,VLCC Personal Care Ltd,"Hub - Star Bazaar Hyderabad Vanasthalipuram Survey No: 57/A & 69/3, Saheb Nagar, Khurd (V), NH 65, Main Road, Hyderabad - 500070 Telangana.",TG/0043-001
1292,Ms. VLCC PERSONAL CARE LIMITED (219796),"VIP ROAD,BAGUIHATI(ADJ-BIG BAZAR) Kolkata",WB/0200-001
1276,Ms. VLCC PERSONAL CARE LIMITED (219800),"Suncity Mall, Delhi Road, Opp.Vidyut Ngr Hissar",HR/0107-001
1305,Ms. VLCC PERSONAL CARE LIMITED (219790),"Govind Chowk, Nr. M.H.Road Udhampur,Jammu & Kashmir",JK/0033-002
1324,Ms. VLCC PERSONAL CARE LIMITED (219800),"136/22, Vikas Nagar, Sonipat Road, Rohtak, Haryana",
