Customer Name,,DC Location / Store Location,Customer code
Future Retail Limited,,"CDC-BHIWANDI-VILLAGE VADAPE-SF-FOOD SHRI PARSHWANANTH COMPLEX,VILLAGE VADAPE NASHIK ROAD,BHIWANDI,VADAPE BHIWANDI-421302,Maharashtra",MH/0478
Future Retail Limited,,"BB-TIRUPATI-S T V NAGAR PLOT NO.19-4-9/6,STV NAGAR, ANNAMACHARYA ROAD, TIRUPATHI TIRUPATI-517501,Andhra Pradesh",AP/0113-006
Future Retail Limited,,"BB-SHIMOGA-KSRTC BUS STAND KSRTC BUS STAND,N.T.ROAD. SHIMOGA BUS TERMINAL,SHIMOGA SHIMOGA-577201,Karnataka",KA/0137-011
Future Retail Limited,,"BB-KOLKATA-JADAVPUR-ORBIT MALL ORBIT MALL, 82, RAJA S C MULIK ROA KOLKATA-47 KOLKATA-700047,West Bengal",WB/0101-001
Future Retail Limited,,"BB-HYDERABAD-TARNAKA BIG BAZAAR, D.NO:12-13-96, SAADATH PLAZA OPP :ARADHANA THEATRE,NEWFLYOVER HYDERABAD-500019,Telangana",TG/0002-001
Future Retail Limited,,"BB-HYDERABAD-MAHESHWARI MAHESHWARI-PARAMESHWARI TOWERS, PLOT NO 4-2-47, KACIGUDA X ROAD, HYDERABAD-500027,Telangana",TG/0002-005
Future Retail Limited,,"BB-HYDERABAD-KOMPALLY-QUTHABULAPUR MANDA
SURVEY NO 131,QUTHABULAPUR MANDAL,RAGA REDDY DIST,BESIDE RUNWAY 9,KOMPALLY",TG/0002-007
Future Retail Limited,,"BB-HYDERABAD-AMEERPET 8-3-949/1 AMEERPET HYDERABAD-500016,Telangana",TG/0002-003
Future Retail Limited,,"BB-HYDERABAD-ABIDS-MAHESHWARI PALACE MAL MAHESHWARI PALACE MALL ABIDS HYDERABAD-500001,Telangana",TG/0002-002
Future Retail Limited,,"BB-HALDWANI-DURGA CITY CENTER PLOT NO.9-16,LAND NO.260,BLOCK E,DURGA- CITY CENTER,BHOTIA PARAO,DIST.NAINITAL HALDWANI-263141,Uttarakhand",UL/0066-0003
Future Retail Limited,,"BB-BENGALURU-MALLESHWARAM HOSUJA'S MALL, COCONUT AVENUE ROAD, 5TH CROSS, NEAR MALLESHWARAM C, MALLESHWARAM BENGALURU-560003,Karnataka",KA/0137-022
Lullu,,"Division of Lulu Int. Shopping Mall Door No. 34/1000-NH-47,EdapallyPIN: 682024",KL/0039
Max Hypermarket,,"BROOKFIELD MALL - CMBT BASEMENT 1,BROOKFIELD ESTATE PVT LTD 67-71, KRISHNASWAMY ROAD COIMBATORE 641001",TN/0189
Reliance CNC,,"Reliance Market Division S.No. 254 & 259 Nizamabad Shivar Ward No.1 Block No.1 Vinayak Nagar Nizamabad , , NIZAMABAD, Telangana - 503001",TG/0054-001
Reliance CNC,,"Reliance Market Division Plot C-1 Panchsheel Scheme Makarwali Road , , Ajmer, Rajasthan - 305001",RJ/0063-001
Reliance CNC,,"Reliance Market Division Old No 69 69/1 32 33 34 35 36 37 New No. Perundurai Road Veeramamunivar Street Erode ,, Erode, Tamil Nadu - 638052 ",TN/0106-006
Reliance CNC,,"Reliance Market Division Khasra No. 443, 446, 452, 447 Near Rohan Motors Niranjanpur GMS Road , , Dehradun, Uttaranchal - 248001",UL/0063
Reliance CNC,,"Reliance Market Division A block of TTMC Near Wilson Garden Shantinagar ,, Bangalore, Karnataka - 560027",KA/0119
Reliance CNC,,"Reliance Market Division 229/1 Junction Road Meyyanur Block No.5 Meyyanur Village Salem Taluka-Salem Dist , ,DHAMPUR, Tamil Nadu - 636004",TN/0106-004
Reliance Retail,,"Sri Swastik Home Land Agencies Pvt Ltd Shop/ Premises At Fun Fiesta Multiplex Sriprastha Complex Nallasopra ( West ), Vasai, Dist. Thane, , Mumbai, Maharashtra - 401203",MH/0231-007
Reliance Retail,,"Shop G/01, Seagul Apt SNP Area Near hotel Shaurya Inn Sakchi Highway, Holding No 11&12, Sakchi Jamshedpur, Jharkhand - 831001",JH/0027-002
Reliance Retail,,"Plot No.-1473 & 1537 Khata No.- 444 Master Canteen Square, Unit-3 Kharavel Nagar, , BHUBANESWAR, Orissa - 751030",OR/0031
Reliance Retail,,"PLOT No A Community Center Block A Vikaspuri , , DELHI, Delhi - 110063",DL/0094-002
Reliance Retail,,"Municipal Building,Ground Floor Next to Mansarovar Hotel Station Road,Bandra West , , Mumbai, Maharashtra - 400050",MH/0231-0020
Reliance Retail,,"MBD NEOPOLIS MALL Lower Ground Floor G T Road Civil Lines BMC Chowk , , Jalandhar, Punjab - 144001",PB/0060-004
Reliance Retail,,"Maru Tower Plot No 677 , Kanke Road, Ranchi, Jharkhand - 834008",JH/0027
Reliance Retail,,"Lower Ground Floor Sandhya Tower Purulia Road , , Ranchi, Jharkhand - 834001",JH/0027-001
Reliance Retail,,"Indraj Arcade Jharsa Road Sector -15/2 , Opp. Hope Appts, Gurgaon, Haryana - 122001",HR/0079-007
Reliance Retail,,"3R Society, Reconstructive Surgery Rehabilitation Recovery Centre Compound Opposite Jain Temple, Research Raboli Centre, Mumbai, Maharashtra - 400071",MH/0286-001
Spencers Retail Limited,,"KHASARA NO. 384, LUCKNOW CENTRAL MALL, VIBHUTI KHAND, OPPOSITE APANA BAZAAR, GOMTINAGAR LUCKNOW-226010",UP/0240-001
Walmart,,"VILL-KHAMTARAI TEHSIL DIST RAI CHATTISGARH, CT, 492008, IN",CT/0035
Walmart,,"VILLAGE MANAWALA GT JALANDHAR AMRISTAR, PB, 999999, IN",PB/0061
Walmart,,"S NO 402/2B1 RAJAHMUNDRY DISTRICT EAST GODAVARI RAJAHMUNDARY, AP, 533105, IN",AP/0088-001
Walmart,,"RITESH PROPERTIES, PHASE 8, FOCAL POINT, CHANDIGARH ROAD LUDHIANA, PB, 141011, IN",PB/0061-005
Walmart,,"LEGACY RESORT NH 22 ZIRAKHUPUR, PB, 999999, IN",PB/0061-001
Walmart,,"HADBAST 89 VILLAGE BHATTIAN GT LUDHIANA, PB, 141008, IN",PB/0061-003
Walmart,,"A82 INDRAPRASTHA IND AREA JHALAWAR ROAD KOTA, RJ, 999999, IN",RJ/0056
Walmart,,"181/2/3,4,5 NR MR10 BYEPASS RD OPP MALWA INSTITUTE OF TECH INDORE, MP, 452016, IN",MP/0044-001
Walmart,,"12 CANAL IRRIGATED VILL BHUCHO KALAN HADBASTNO 201 TEH NATHAN BHATINDA, PB, 151001, IN",PB/0061-004
