EAN,Item Description,Hypercity
8906008453201,VLCC Anti Tan Skin Lightening Face Wash-50gm,100327318
8907122008384,Fair+Glow Sun Screen Lotion SPF20 50 ml,
8907122008377,Fair+Glow Sun Screen Lotion SPF20 100 ml,100024755
8907122008407,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 100 gm,100024756
8907122008414,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 50 gm,100414847
8907122008421,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 15 gm,
8907122008483,Radiance Pro SPF 30 Sun Screen Gel 100 gm,
8907122008490,Radiance Pro SPF 30 Sun Screen Gel 50 gm,
8907122008513,3D Youth Boost SPF40 Sunscreen Gel CrÃ¨me 100 gm,100024805
8907122008520,3D Youth Boost SPF40 Sunscreen Gel CrÃ¨me 50 gm,
8907122008537,De Tan SPF 50 Sunscreen Gel CrÃ¨me 100 gm,100414849
8907122008544,Water Resistant SPF60 Sunscreen Gel CrÃ¨me 100gm,100527028
8907122000494,VLCC Maximum Sunblock Lotion SPF 70 60G,100699377
8906008459210,VLCC Clear Tan Fruits Face Pack- 100gm,100312896
8907122002672,Antitan Body Lotion SPF 25 150ml B1G1,101343281
8906008450774,VLCC Sandal Cleansing Milk 100ml,100024758
8906008450804,VLCC Wild Turmeric Face Wash-80ml,100024781
8906008450743,VLCC Honey Moisturiser 100 ml+ offer,100312897
8906008450750,VLCC Melia Face Wash 80ml,100024780
8906008450729,VLCC LAVANG MOISTURISER - 100 ML,100024752
8906008450798,VLCC Punernave Astringent-100ml ,100024778
8906008452846,VLCC Almond Under Eye Cream 15Gm,100198773
8906008450811,VLCC Pista Massage Cream 50Gm,100024763
8907122002276,VL LIQUORICE COLD CREAM 50Gm,101233830
8906008453041,VLCC Rose Face Scrub 80gm ,100312912
8906008451214,VLCC Indian Berberry -80gm,100024772
8906008450781,VLCC Rose Water Toner 100ml,100198785
8906008458787,VLCC Coco Butter Body Lotion â 200ml Â  Â  Â  Â  Â  ,100468816
8906008458817,VLCC Almond Body Lotion â 350ml B1G1,101233829
8906008450934,VLCC Mud Face Pack-70gm,100024705
8907122003112,VLCC Papaya & Apricot Scrub-80gm,100755403
8907122003099,VLCC Walnut Face Scrub-80gm,100755402
8907122000081,VLCC Anti Aging Day CreamSPF 25 -50 gm,100755399
8907122000098,VLCC Anti Aging Night Cream- 50 gm,100024735
8907122000067,VLCC Anti Aging Face Wash 100 ml,100024782
