AX Code,Old code
F0604-001,T0333-001
F0605-001,T0334-001
F0606-001,T0335-001
T0308-001,T0308-002
T0309-001,T0309-002
T0310-001,T0310-002
T0311-001,T0311-002
F0365-001,F0365-003
F0367-001,F0367-003
F0369-001,F0369-003
F0371-001,F0371-003
F0373-002,F0373-001
T0036-005,T0036-002
T0037-004,T0037-003
T0324-002,T0324-001
T0325-002,T0325-001
T0326-002,T0326-001
T0327-002,T0327-001
T0328-002,T0328-001
F0094-017,F0094-003
F0095-021,F0095-013
F0096-015,F0096-010
F0097-019,F0097-012
F0098-015,F0098-010
F0099-017,F0099-011
F0101-009,F0101-006
