FG code,Article Des,EAN Code,Size,Final MRP,Category
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Balm
T0329-001,Vaso Plus Petroleum Jelly Pet Jar 48No,8907122011674,7GM*5,180,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0162-005,Almond Body Lotion B1G1 MT Offer,8906008458817,350ml,275,Skin Care
T0037-003,Cherry Lip Balm 4.5 gm,8907122001842,4.5GM,125,Lip Care
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25 PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack,8907122011445,100GM,350,Skin Care
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel,8907122009268,100GM,85,Ayurveda Skin Care
T0330-001,Vaso Plus Petroleum Jelly,8907122011681,42GM,50,Skin Care
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Balm
T0308-001,VLCC Ayurveda Dandruff Control Shampoo 350ml (+15% Extra),,350 Ml,220,Hair Care
T0311-002,VLCC Ayurveda Intense Nourishing Shampoo,8907122009978,350ML,220,Hair Care
F0550-002,Active Fruits Body Lotion (B1G1) 400ML,8907122011544,400ML,399,Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask,8907122011001,100GM,350,Skin Care
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Mass Range
F0185-001,Alpine Mint & Tea Tree GentleRefreshing Face Wash,8906008460438,150ML,250,International
T0309-002,VLCC Ayurveda Anti Hair Fall Shampoo,8907122009992,350ML,220,Hair Care
T0309-002,VLCC Ayurveda Anti Hair Fall Shampoo,8907122009992,350ML,220,Hair Care
T0291-001,VLCC Henna Set of 2 – 240g,8906008460476,100gm,89,Hair Care
T0291-001,VLCC Henna Set of 2 – 240g,8906008460476,100gm,89,Hair Care
F0369-003,Double Power Double Neem FW 100ml + Neem 50ml Free,8907122006090,100ml,99,Ayurveda F/w
F0367-003,Skin Bright Haldi & Chandan FW 100ml + HC 50ml Free,8907122006076,100ml,99,Ayurveda F/w
F0373-002,PLATINUM FACIAL KIT 6 steps Tube WG 20g,8907122006137,60gm,350,Platinum Kit
