FG code,Article Des,EAN Code,Size,Final MRP,Category
,Fair+Glow Sun Screen Lotion SPF20 50 ml,8907122008384,80ML,120,SunCare
,Fair+Glow Sun Screen Lotion SPF20 100 ml,8907122008377,100ML,235,SunCare
,Matte Look SPF 30 Sun Screen Gel Crème (Tinted) 100 gm,8907122008407,100GM,295,SunCare
,Matte Look SPF 30 Sun Screen Gel Crème (Tinted) 50 gm,8907122008414,60GM,195,SunCare
,Matte Look SPF 30 Sun Screen Gel Crème (Tinted) 15 gm,8907122008421,15gm*24,480,SunCare
,Radiance Pro SPF 30 Sun Screen Gel 100 gm,8907122008483,100GM,350,SunCare
,Radiance Pro SPF 30 Sun Screen Gel 50 gm,8907122008490,50GM,245,SunCare
,3D Youth Boost SPF40 Sunscreen Gel Crème 100 gm,8907122008513,100GM,375,SunCare
,3D Youth Boost SPF40 Sunscreen Gel Crème 50 gm,8907122008520,50GM,265,SunCare
,De Tan SPF 50 Sunscreen Gel Crème 100 gm,8907122008537,100GM,395,SunCare
,Water Resistant SPF60 Sunscreen Gel Crème 100gm,8907122008544,100GM,495,SunCare
,Antitan Body Lotion SPF 25 150ml B1G1,8907122002672,150 ml,275,SunCare
,VLCC Sandal Cleansing Milk 100ml,8906008450774,100ML,160,Skin Care
,VLCC Wild Turmeric Face Wash-80ml,8906008450804,80ML,140,Skin Care
,VLCC Honey Moisturiser 100 ml,8906008450743,100ML,295,Skin Care
,VLCC Melia Face Wash 80ml,8906008450750,80ML,140,Skin Care
,VLCC LAVANG MOISTURISER - 100 ML,8906008450729,100ML,160,Skin Care
,VLCC Punernave Astringent-100ml ,8906008450798,100ML,160,Skin Care
,VLCC Almond Under Eye Cream 15Gm,8906008452846,15GM,225,Skin Care
,VLCC Pista Massage Cream 50Gm,8906008450811,50GM,260,Skin Care
,VL LIQUORICE COLD CREAM 50Gm,8907122002276,50GM,135,Skin Care
,VLCC Rose Face Scrub 80gm ,8906008453041,80GM,180,Skin Care
,VLCC Indian Berberry -80gm,8906008451214,80GM,250,Skin Care
,VLCC Rose Water Toner 100ml,8906008450781,100ML,150,Skin Care
,VLCC Coco Butter Body Lotion – 200ml           ,8906008458787,200ML,155,Skin Care
,VLCC Almond Body Lotion – 350ml,8906008458817,350ML,275,Skin Care
,VLCC Mud Face Pack-70gm,8906008450934,70GM,250,Skin Care
,VLCC Papaya & Apricot Scrub-80gm,8907122003112,80GM,180,Skin Care
,VLCC Walnut Face Scrub-80gm,8907122003099,80GM,180,Skin Care
,VLCC Anti Aging Day CreamSPF 25 -50 gm,8907122000081,50GM,450,Anti Aging
,VLCC Anti Aging Night Cream- 50 gm,8907122000098,50GM,450,Anti Aging
,VLCC Anti Aging Face Wash 100 ml,8907122000067,100ML,155,Anti Aging
,VLCC Anti Aging Vitalift serum- 40 ml,8907122000104,40ML,450,Anti Aging
,VLCC Snighda Skin Whitening Day Cream Spf25 50gm,8906008450897,50GM,450,Snighda
,VLCC Snighda Skin Whitening Face Wash 100ml,8907122003105,100ML,155,Snighda
,VLCC Snighda Skin Whitening Night Cream 50Gm,8907122006953,50GM,450,Snighda
,VLCC Snighda Skin Whitening Serum 40ml,8907122006960,40ml,450,Snighda
,VLCC Gold Facial Kit-Single,8906008458022,KIT,250,Single Kit
,VLCC Pearl Fairness Facial Kit-Single 90G,8906008458015,KIT,250,Single Kit
,VLCC PARTY GLOW FACIAL KIT 90G,8906008458589,KIT,250,Single Kit
,VLCC ANTI TAN SINGLE FACIAL KIT,8906008458374,KIT,250,Single Kit
,VLCC Fruit Facial Kit-Single 100G,8906008458466,KIT,250,Single Kit
,VLCC Diamond Facial Kit-Single,8906008458039,KIT,350,Single Kit
,VLCC Silver Facial Kit ,8906008459715,KIT,250,Single Kit
,VLCC Fruit Kit,8906008452907,KIT,400,Regular kit
,VLCC Insta Glow Facial Kit ,8906008452785,KIT,400,Regular kit
,VLCC Detan Facial Kit,8906008452761,KIT,400,Regular kit
,VLCC Skin Tightning Facial Kit ,8906008452822,KIT,400,Regular kit
,VLCC Pedi Glow Foot Care Kit,8906008455069,KIT,550,Regular kit
,VLCC pedicure & Manicure kit,8907122002191,KIT,500,Regular kit
,Papaya Fruit Facial Kit 5 Session,8907122005659,300Gm,600,Regular kit
,Party Glow Facial Kit 5 Session,8907122005666,300Gm,600,Regular kit
,Anti Tan Facial Kit 5 Session,8907122005642,300Gm,600,Regular kit
,Total Nourishment Fruit Cream,8907122006144,,240,Skin Care
,Insta Fair & Glow Cold Cream,8907122006632,,240,Skin Care
,VLCC Skin Glow Mini Facial kit,8907122002993,25gm,99,Mini Facial Kit
,VLCC Skin Whitening Mini Facial Kit ,8907122002986,25gm,99,Mini Facial Kit
,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,8907122006373,,120,Skin Care
,VLCC Gold Facial Kit-6,8906008458350,KIT,1300,Premium Kit
,VLCC Diamond Kit,8906008453058,KIT,1600,Premium Kit
,VLCC Pearl Facial Kit,8906008454246,KIT,1100,Premium Kit
,Platinum Facial Kit,,,,Premium Kit
,VLCC Daily protect Lip balm Strawberry 4.5GM,8907122001835,4.5GM,125,Lip Care
,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,8906008460438,150ML,250,International
,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,8906008460469,150ML,250,International
,VLCC Hair Fall Repair Oil 100ML,8906008459579,100ML,155,Hair Care
,VLCC Protein Conditioning Shampoo-350ml,8906008459517,350ML,295,Hair Care
,VLCC Hair Fall Repair Shampoo-350ml,8906008459487,350ML,295,Hair Care
,VLCC Dandruff Control Shampoo-350ml,8906008459456,350ML,295,Hair Care
,VLCC Hair Strengthening Oil 100ml,8906008459562,100ML,400,Hair Care
,VLCC Henna 2*100gm,8906008460476,100GM,99,Hair Care
,VLCC Henna 100gm,8906008451665,100GM,60,Hair Care
,VLCC KAJAL 2.5GR ,8906008451009,2.5GM,155,EyeCare
,VLCC Herbal Bleach Retail 27 gm,8906008458428,27GM,50,Bleach
,VLCC Gold Bleach Retail 30G,8906008456554,30GM,60,Bleach
,VLCC Insta Glow Bleach -21 gm,8906008453331,21GM,60,Bleach
,VLCC Diamond Bleach 30gm,8907122001439,30GM,70,Bleach
,VLCC Insta Glow Gold Bleach - 60 gm,8907122000050,60GM,100,Bleach
,VLCC Insta Glow Herbal Bleach - 54 gm,8907122000043,54GM,80,Bleach
,VLCC Insta Glow Qxygen Bleach - 51.4 gm,8907122000029,51.4GM,80,Bleach
,VLCC Insta Glow Diamond Bleach - 60 gm,8907122000036,60GM,110,Bleach
,Neem Facewash 150ml ,8907122002641,150 ml,170,FWs
,Mulberry & Rose Facewash 150ml ,8907122002658,150 ml,170,FWs
,Turmeric & Berberris Facewash 150ml ,8907122002665,150 ml,170,FWs
,VLCC Tulsi Face Wash,8907122003761,150 ml,225,FWs
,Shape Up Slimming Oil100 ml,8906008458572,100ML,255,Shape UP
,Shape Up Slimming Oil200 ml,8907122001798,200ML,500,Shape UP
,Shape Up Waist & Tummy Trim Gel200 gm,8906008451863,200GM,605,Shape UP
,Shape Up Waist & Tummy Trim Gel100 gm,8906008453393,100GM,355,Shape UP
,Shape UP B line Cream 100ml,8907122005444,100ML,495,Shape UP
,Shape Up 10 in 1 Oil60 ml,8907122003693,60ML,425,Shape UP
,Shape Up 10 in 1 Oil100 ml,8907122003686,100ML,700,Shape UP
,VLCC Coco Butter Body Lotion – 350ml,8906008458794,350ml,299,Skin Care
,VLCC Aloe Vera Body Lotion – 350ml,8906008458848,,255,Skin Care
,VLCC Mulberry Body Lotion – 350ml,8906008458831,,255,Skin Care
,Skin Brightening Haldi & Chandan Face wash,8907122006076,100ml,99,Ayurveda Face Wash
,Natural Fairness Double Action Chandan & Kesar,8907122006113,100ml,99,Ayurveda Face Wash
,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,8907122006052,100ml,99,Ayurveda Face Wash
,Skin Purifying Double Power Double Neem FACEWASH,8907122006090,100ml,99,Ayurveda Face Wash
,VLCC Platinum Facial Kit 60gm,8907122006137,60gm,350,Single Kit
,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,8907122006557,50gms,200,Ayurveda Single Kit
,Skin Purifying Double Power Double Neem Facial Kit,8907122006564,50gms,200,Ayurveda Single Kit
,Skin Brightening Haldi & Chandan Facial Kit ,8907122006571,50gms,200,Ayurveda Single Kit
,Natural Fairness Chandan & Kesar Facial Kit,8907122006588,50gms,200,Ayurveda Single Kit
,VLCC Ayurveda Dandruff Control Shampoo,8907122008049,100ML,70,Ayurveda Hair Care
,VLCC Ayurveda Anti Hair Fall Shampoo,8907122008063,100ML,70,Ayurveda Hair Care
,VLCC Ayurveda Intense Nourishing Shampoo,8907122008100,100ML,70,Ayurveda Hair Care
,VLCC Ayurveda Smooth and Shine Shampoo,8907122008087,100ML,70,Ayurveda Hair Care
,VLCC Ayurveda Dandruff Control Shampoo,8907122009961,350ml,220,Ayurveda Hair Care
,VLCC Ayurveda Anti Hair Fall Shampoo,8907122009978,350ml,220,Ayurveda Hair Care
,VLCC Ayurveda Intense Nourishing Shampoo,8907122009992,350ml,220,Ayurveda Hair Care
,VLCC Ayurveda Smooth and Shine Shampoo,8907122009985,350ml,220,Ayurveda Hair Care
,VLCC Ayurveda Dandruff Control Conditioner,8907122010011,100ml,90,Ayurveda Hair Care
,VLCC Ayurveda Anti Hair Fall Conditioner,8907122010028,100ml,90,Ayurveda Hair Care
,VLCC Ayurveda Intense Nourishing Conditioner,8907122010042,100ml,90,Ayurveda Hair Care
,VLCC Ayurveda Smooth and Shine Conditioner,8907122010035,100ml,90,Ayurveda Hair Care
,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,8907122008124,100ml,130,Ayurveda Hair Care
,VLCC AyushMEN Face Wash 50gm,8907122007547,50g,75,Mens Range
,VLCC AyushMEN Face Wash 100gm,8907122007554,100m,140,Mens Range
,VLCC AyushMEN Scrub 50gm,8907122007561,50g,80,Mens Range
,VLCC AyushMEN Moisturiser 50gm,8907122007578,50g,150,Mens Range
,VLCC AyushMEN Moisturiser 100gm,8907122007585,100gm,275,Mens Range
,VLCC AyushMEN Shaving Gel 50gm,8907122007592,50gm,65,Mens Range
,VLCC AyushMEN Shaving Cream 70gm,8907122007608,70gm,30,Mens Range
,VLCC AyushMEN Shaving Cream 125gm,8907122007615,125gm,45,Mens Range
,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,8907122008308,50gm,195,Ayurveda Skincare
,VLCC Ayurveda Multani Mitti Face Pack,8907122008438,100gm,120,Ayurveda Skincare
,VLCC Ayurveda Youth Miracle Anti Ageing Cream,8907122008292,50gm,225,Ayurveda Skincare
,VLCC Ayurveda White & Bright Glow Gel Cream,8907122008445,20gm,99,Ayurveda Skincare
,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,8907122010196,350ml,299,SunCare
,Ayurveda Baby Cream,8907122006670,50GM,70,Baby Range
,Ayurveda Baby Cream,8907122009206,100GM,130,Baby Range
