FG code,Article Des,EAN Code,Size,Final MRP,Category
F0201-001,VLCC Mud Face Pack-70gm,8906008450934,70 GM,250,Skin Care
F0081-001,VLCC Pearl Facial Kit,8906008454246,0,1100,Premium Facial Kit
F0099-017,PEARL FACIAL KIT 6 steps Tube WG 20g,8906008458015,1KIT,250,Single Facial kit
T0037-004,Lip Balm B1G1 (Cherry+Peach),,0,125,Lip Balm
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0550-002,Active Fruits Body Lotion (B1G1) 400ML,8907122011544,400ML,399,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Mass Range
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack 100GM,8907122011445,100GM,348,Skin Care
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel 100GM,8907122009268,100GM,85,Ayurveda Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask 100GM,8907122011001,100GM,348,Skin Care
T0330-001,Vaso Plus Petroleum Jelly ,8907122011681,42GM,50,Skin Care
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Balm
T0308-002,VLCC Ayurveda Dandruff Control Shampoo 350ml +100ml Conditioner Free,,402.5ml,220,Hair Care
T0309-002,VLCC Ayurveda Hair Fall Control Shampoo 350ml +100ml Conditioner Free,,402.5ml,220,Hair Care
T0311-002,VLCC Ayurveda Hair Nourishment Shampoo 350ml +100ml Conditioner Free,,402.5ml,220,Hair Care
T0310-002,VLCC Ayurveda Smooth and Shine Shampoo 350ml +100ml Conditioner Free,,402.5ml,220,Hair Care
F0216-001,Snigdha Skin Whitening Night Cream-50 gm,8907122003365,50GM,250,Skin Care
F0220-001,Snigdha Skin Whitening Spot Fading Serum-50 ml,8907122003372,50ml,450,Skin Care
T0291-001,VLCC Henna Set of 2 – 240g,8906008460476,100gm,89,Hair Care
F0049-002,Manicure Pedicure Kit-New Pack,8907122002191,0,0,Premium Facial Kit
T0182-001,Green Tea - Slimming 25s,8907122001958,0,0,
F0216-001,Snigdha Skin Whitening Night Cream-50 gm,8907122003365,50GM,250,Skin Care
F0367-003,Skin Brightening Haldi & Chandan Face wash 100ml +  50ml Free,8907122006076,100ml,99,Ayurveda F/w
