FG code,Article Des,EAN Code,Size,Final MRP,Category
T0153-001,SunWave UV Extra DNA De-Tox UV Block White 35 ml,8886468550248,35ML,1300,Bellewave
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0550-002,Active Fruits Body Lotion (B1G1) 400ML,8907122011544,400ML,399,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack,8907122011445,100GM,348,Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask,8907122011001,100GM,348,Skin Care
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0407-001,VLCC Ayush MEN Moisturiser 100 gm,8907122007585,100gm,275,Mens Range
F0424-001,VLCC Ayurveda Anti Ageing Cream,8907122008292,50gm,225,Ayurveda Skincare
T0311-002,VLCC Ayurveda Intense Nourishing Shampoo,8907122009978,350ML,220,Hair Care
T0309-002,VLCC Ayurveda Anti Hair Fall Shampoo,8907122009992,350ML,220,Hair Care
F0425-001,VLCC Ayurveda Depigmentation  Cream,8907122008308,50gm,195,Ayurveda Skincare
F0569-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Medium skin tone) 30ml,8907122011742,30ML,150,Skin Care
F0568-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Light to fair) 30ml,8907122011735,30ML,150,Skin Care
F0559-001,VLCC OIL INFUSED TOTAL NOURISHMENT FRUIT CREAM 200GM,8907122011636,200GM,140,Skin Care
F0404-001,VLCC Ayush MEN Face Wash 100 gm,8907122007554,100GM,140,Mens Range
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Care
F0409-001,VLCC AYURVEDA MULTANI MITTI FACE PACK,8907122008438,100gm,120,Ayurveda Skincare
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel,8907122009268,100GM,85,Skin Care
F0410-003,VLCC Ayurveda White & Bright Glow Gel Cream,8907122008445,20gm,79,Ayurveda Skincare
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Skin Care
F0408-001,VLCC Ayush MEN Shaving Gel 60gm,8907122007592,50GM,65,Mens Range
T0330-001,Vaso Plus Petroleum Jelly ,8907122011681,42GM,50,Skin Care
