FG Code,Itemname,EAN Code,SKU,MRP,Category
F0429-001,Fair+Glow Sun Screen Lotion SPF20 50 ml,8907122008384,80ML,120,SunCare
F0428-001,Fair+Glow Sun Screen Lotion SPF20 100 ml,8907122008377,100ML,235,SunCare
F0431-001,Matte Look SPF 30 Sun Screen Gel Crme (Tinted) 100 gm,8907122008407,100GM,295,SunCare
F0464-001,Matte Look SPF 30 Sun Screen Gel Crme (Tinted) 15 gm,8907122008421,15gm*24,480,SunCare
F0436-001,Radiance Pro SPF 30 Sun Screen Gel 100 gm,8907122008483,100GM,350,SunCare
F0437-001,Radiance Pro SPF 30 Sun Screen Gel 50 gm,8907122008490,50GM,245,SunCare
F0438-001,3D Youth Boost SPF40 Sunscreen Gel Crme 100 gm,8907122008513,100GM,375,SunCare
F0439-001,3D Youth Boost SPF40 Sunscreen Gel Crme 50 gm,8907122008520,50GM,265,SunCare
F0440-001,De Tan SPF 50 Sunscreen Gel Crme 100 gm,8907122008537,100GM,395,SunCare
F0441-001,Water Resistant SPF60 Sunscreen Gel Crme 100gm,8907122008544,100GM,495,SunCare
F0534-001,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,8907122010196,350ml,299,SunCare
F0214-001,VLCC Sandal Cleansing Milk 100ml,8906008450774,100ML,160,Skin Care
F0233-001,Wild Turmeric Face Wash,8906008450804,100ml,140,Skin Care
F0193-005,VLCC Honey Moisturiser 100 ml,8906008450743,100ML,250,Skin Care
F0199-001,VLCC Melia Face Wash 80ml,8906008450750,80ML,140,Skin Care
F0196-001,VLCC LAVANG MOISTURISER - 100 ML,8906008450729,100ML,160,Skin Care
F0207-001,VLCC Punernave Astringent-100ml,8906008450798,100ML,160,Skin Care
F0169-001,VLCC Almond Under Eye Cream 15Gm,8906008452846,15GM,225,Skin Care
F0204-001,VLCC Pista Massage Cream 50Gm,8906008450811,50GM,260,Skin Care
F0198-003,VL LIQUORICE COLD CREAM 50Gm,8907122002276,50GM,135,Skin Care
F0210-001,VLCC Rose Face Scrub 80gm,8906008453041,80GM,180,Skin Care
F0194-001,VLCC Indian Berberry -80gm,8906008451214,80GM,250,Skin Care
F0212-001,VLCC Rose Water Toner 100ml,8906008450781,100ML,150,Skin Care
F0158-004,VLCC Coco Butter Body Lotion  200ml     ,8906008458787,200ML,155,Skin Care
F0162-005,Almond Body Lotion B1G1 MT Offer,8906008458817,350ml,275,Skin Care
F0201-001,VLCC Mud Face Pack-70gm,8906008450934,70 GM,250,Skin Care
F0202-001,VLCC Papaya & Apricot Scrub-80gm,8907122003112,80GM,180,Skin Care
F0232-001,VLCC Walnut Face Scrub-80gm,8907122003099,80GM,180,Skin Care
F0218-001,Anti Aging Night Cream- 50 gm,8907122000098,50gm,450,Skin Care
F0216-001,Snigdha Skin Whitening Night Cream-50 gm,8907122003365,50GM,250,Skin Care
F0220-001,Snigdha Skin Whitening Spot Fading Serum-50 ml,8907122003372,50ml,450,Skin Care
F0306-003,Neem Face Wash + Anti Tan Skin Lightening Face Wash,8907122002641,150ml,170,Skin Care
F0311-002,Mulberry & Rose Facewash 150ml B1G1-MT,8907122002658,150ml,170,Skin Care
F0307-003,Turmeric & Berberries Face Wash + Anti Tan Skin Lightening Face Wash,8907122002665,150ml,170,Skin Care
F0328-002,Tulsi Face Wash + Orange Oil Face Wash,8907122003761,150ml,225,Skin Care
F0161-001,VLCC Coco Butter Body Lotion  350ml,8906008458794,350ml,299,Skin Care
F0160-001,VLCC Aloe Vera Body Lotion  350ml,8906008458848,,299,Skin Care
F0159-001,VLCC Mulberry Body Lotion  350ml,8906008458831,,299,Skin Care
F0569-001,VLCC GLAM & GLO 10 in 1 Skin Perfector (Medium skin tone) 30ml,8907122011742,30ML,150,Skin Care
F0568-001,VLCC GLAM & GLO 10 in 1 Skin Perfector (Light to fair) 30ml,8907122011735,30ML,150,Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask 100GM,8907122011001,100GM,348,Skin Care
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack 100GM,8907122011445,100GM,350,Skin Care
F0558-002,VLCC Oil Infused Total Nourishment Fruit Cream Pet Jar 24NO,8907122011858,15GM*24,240,Skin Care
F0544-001,VLCC YOUTH BOOST+ Detan Glow + Active Fruit BODY LOTION SPF 25 PA+++ Pet Jar 18No,8907122011865,20ML*18,270,Skin Care
T0330-001,Vaso Plus Petroleum Jelly,8907122011681,42GM,50,Skin Care
F0556-002,VLCC 3 in 1 Intensive Care Cold Cream Pet Jar 24NO,8907122011841,10GM*24,240,Skin Care
F0554-002,VLCC COCOA BUTTER DETAN GLOW SPF 30PA+++ 100ML,8907122011582,100ML,135,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0551-002,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30PA+++ 100ML,8907122011551,100ML,135,Skin Care
F0548-002,Youth Boost Body Lotion (B1G1) 100ML,8907122011520,100ML,135,Skin Care
F0605-001,VLCC  WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 100ml,8907122011490,100ML,99,Skin Care
F0550-002,Active Fruits Body Lotion (B1G1) 400ML,8907122011544,400ML,399,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0604-001,VLCC WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0217-001,VLCC Anti Aging Day CreamSPF 25 -50 gm,8907122000081,50GM,450,Anti Aging
F0168-001,VLCC Anti Aging Face Wash 100 ml,8907122000067,100ML,155,Anti Aging
F0206-001,VLCC Anti Aging Vitalift serum- 40 ml,8907122000104,40ML,450,Anti Aging
F0215-001,VLCC Snighda Skin Whitening Day Cream Spf25 50gm,8906008450897,50GM,250,Snighda
F0167-001,VLCC Snighda Skin Whitening Face Wash 100ml,8907122003105,100ML,155,Snighda
F0220-001,VLCC Snighda Skin Whitening Serum 40ml,8907122006960,40ml,450,Snighda
F0216-001,VLCC Snighda Skin Whitening Night Cream 50Gm,8907122006953,50GM,250,Snighda
F0098-016,VLCC PARTY GLOW FACIAL KIT 90G,8906008458589,KIT,250,Single Kit
F0094-018,VLCC ANTI TAN SINGLE FACIAL KIT,8906008458374,KIT,250,Single Kit
F0096-016,VLCC Fruit Facial Kit-Single 100G,8906008458466,KIT,250,Single Kit
F0101-009,VLCC Silver Facial Kit,8906008459715,KIT,250,Single Kit
F0387-001,VLCC Fruit Kit,8906008452907,KIT,400,Regular kit
F0091-001,VLCC Detan Facial Kit,8906008452761,KIT,400,Regular kit
F0088-001,VLCC Skin Tightning Facial Kit,8906008452822,KIT,400,Regular kit
F0048-001,VLCC Pedi Glow Foot Care Kit,8906008455069,KIT,550,Regular kit
F0356-001,Papaya Fruit Facial Kit 5 Session,8907122005659,300Gm,600,Regular kit
F0357-001,Party Glow Facial Kit 5 Session,8907122005666,300Gm,600,Regular kit
F0355-001,Anti Tan Facial Kit 5 Session,8907122005642,300Gm,600,Regular kit
F0080-001,VLCC Gold Facial Kit-6,8906008458350,KIT,1300,Premium Kit
