,,Shipping_address,Cust_code
,,"PLOT NO. 13/1, MAIN MATHURA ROAD, OPPOSITE METRO PILLAR NO 496, FARIDABAD - 121003, HARYANA.",HR/0200
,,"C/O Chander Kailash Garg and Others Khasra No. 77/10 and 77/11 Sampl Kharkhoda Road Village Hassanagarh, Opposite HUL Warehouse Dist: Rohtak 124404, HARYANA, India",DL/0206
,,"BB-PUNE-KUMAR PACIFIC MALL CTS NO.42/43, SHANKAR SETH RD., GULTEKDI KUMAR PACIFIC MALL, PUNE-411042,Maharashtra",MH/0309-010
,,"BB-VISAKHAPATNAM-DWARAKANAGAR G.V MANOR,BESIDES SANGAM SHART THEATRES, STATION ROAD,DWARAKANAGAR, VISAKHAPATNAM-530016,Andhra Pradesh",AP/0113
,,"EASY DAY-KOLKATA-RAJARHAT-CENTRALMALL-SF CENTRAL MALL,ACTION AREA-1B,PLOT NO.BG GF,BLOCK BY BLOCK SHOPPING MALL,RAJARHAT KOLKATA-700156,West Bengal",WB/0101-004
,,"CDC-KOLKATA-BARASAT (SF-FOOD) C/O KEVENTER AGRO,NILGUNJ,SUBASH NAGAR, BARASAT-BRAKPUR RD,NORTH24 PARG,BARASAT, KOLKATA-700121,West Bengal",WB/0101-010
,,"CDC-GUNDLA POCHAMPALLY-MEDCHAL(LF-FOOD) SURVEY NO 695/696,BEHIND LIFESTYLE WARE- HOUSE,GUNDLA POCHAMPALLY VILLAGE MEDCHAL MANDAL-500014,Telangana",TG/0002-009
,,"CDC-JAIPUR-KRISHNA KUNJ NO.I/0-1,KRISHNA KUNJ,VILL.DAHMIKALAN & BAGRUKALAN,AJMER ROAD,NR BAGRU,SANGANER JAIPUR-303007,Rajasthan",RJ/0128
,,"CDC-BANUR-RAJPURA-(SF-FOOD) NO.289/259,255 KHATONI NO.352,353,354 AT VILLAGE SHAMBHU KALAN RAJPURA-140417,Punjab",PB/0071-001
,,"22B, 1ST MAIN ROAD,GOKULAM ROAD, JAYALAKSHMIPURAM, MYSORE-570012,Karnataka",KA/0137-018
,,"HYPERCITY-BHOPAL-D B MALL D B MALL, ARERA HILLS, M.P NAGAR ZONE 1,PP HOTEL SURENDRA VILAS, BHOPAL-462011,Madhya Pradesh",MP/0069-007
,,"BB-BHOPAL-AURA MALL-GULMOHAR SECTOR E8, ARERA COLONY, AURA MALL OPP RAJIV GANDHI COLLEGE, GULMOHAR BHOPAL-462039,Madhya Pradesh",MP/0069-008
,,"BB-HUBLI-GOKUL ROAD-AKSHY SKY MALL R.S.NO.106A TO 109A,AKSHY SKY MALL, GOKUL ROAD HUBLI-580030,Karnataka",KA/0137-019
,,"BB-BENGALURU-KUNDALAHALLI GATE KUNDALAHALLI GATE,OPP-ANNAPOORNA HOTEL ITPL ROAD,NEAR BROOKE FIELD, BENGALURU-560037,Karnataka",KA/0137-020
,,"BB-BENGALURU-ROYAL MEENAKSHI MALL ROYAL MEENAKSHI MALL, OPP. MEENAKSHI TEMPLE,BANNERGHATTA ROAD BENGALURU-560076,Karnataka",KA/0137-021
,,"CDC-BB-HAPUR-FOOD BAZAAR KHASRA NO.376,377,399 VILLAGE BHOVAPUR, TEHSIL DHOLANA,RELIANCE RD,VILL-GALAND HAPUR-201313,Uttar Pradesh",UP/0228-012
,,"CDC-BHIWANDI-SHREE RAJLAXMI LOGI-FOOD-LF NO D-3,D-4&E-3,SHREE RAJLAXMI LOGI PARK OP POLICE CHOWKI,VILLAGE VADPE THANE-421302,Maharashtra",MH/0285-001
,,"CDC-GUWAHATI-BORAGAON-SF PATTA NO.38,DAG NO. 194,SHILAMAHEKHAITI MOUZA-SILA SINDURI GHOPA,AMINGAON GUWAHATI-781031,Assam",AS/0068-001
,,"BB-ASANSOL-SENTRUM MALL SENTRUM MALL,KANYAPUR TOWNSHIP,GOPALPUR PARGANA SHERGARH, DIST.BURDWAN, ASANSOL ASANSOL-713301,West Bengal",WB/0101-0020
,,"Warehouse Delhi Guardian Healthcare Services Pvt LtdC-40, Okhla Phase-2, New Delhi-20",DL/0173
,,"Unit No: LGF-21&22,Pacific Mall, Najafgarh Road Khayala, Delhi 110018 Delhi",DL/0037-002
,,"Ground Floor,Shop No:60,Sector 38 Noida - UP 201301 Uttar Pradesh",‪‪‪‪‪‪‪‪‪UP/0162-04
,,"Shop No 201,Logix City Center Mall Noida 201301 Uttar Pradesh",UP/0162-01
,,"5/1, Site IV, Sahibabad Ghaziabad - UP 201010 Uttar Pradesh",‪‪‪UP/0162-02
,,"G-18, Ground Floor, Mahagun Metro Mall, VC-3, Sector-3, Vaishali, Ghaziabad 201001 Uttar Pradesh",‪‪‪‪‪‪UP/0162-08
,,"# 2A & 2B , Second Floor,Inorbit Mall,Madhapur Hyderabad 500081 Telangana",AP/0023-002
,,", GHAZIABAD, UTTAR PRADESH, IN-201009 GAZHIABAD",UP/0330
,,", HADBAST NO 282, IN-143101 AMRITSAR",PB/0065-003
,,", PARVNATH METRO MALL,BASEMENT, IN-110053 NEW DELHI",DL/0089-001
,," PVT. LTD., UNDER PS - EAST JADAVPUR,, IN-700099 KOLKOTA",WB/0080
,,", ITPL MAIN ROAD, WHITEFIELD, IN-560048 MAHADEVPURA VILLAGE",KA/0094-005
,,", PATTANAGERE ,KENGERI HOBLI, IN-560059 BANGALORE",KA/0094-006
,,", HADBAST NO. 44 AND 46,, IN-140603 ZIRAKPUR , MOHALI",PB/0065-002
,,", PLOT NO. 29-31, CBD, SHAHDRA, IN-110092 NEW DELHI",DL/0089
,," PVT. LTD., SURVEY NO. 133 TO 140, IN-500072 HYDERABAD",AP/0074
,," PVT. LTD., SURVEY NO. 65, 71 AND 72, IN-500015 HYDERABAD",TG/0044
,," PVT. LTD., SURVEY NO. 844,TAPOVAN ROAD, IN-422101 NASHIK",MH/0493
,,", SURVEY NO 588/1 & 591,, IN-500039 HYDERABAD RR DISTT,",AP/0074
,,", RAJENDRA NAGAR MANDAL, IN-501323 HYDERABAD, R R DIST.",AP/0074-005
,,", VILLAGE- SEMRA, IN-227105 LUCKNOW",UP/0247
,,", DATAPADA ROAD,VILL.MAGATHANE, IN-400066 BORIVALI(E) MUMBAI",MH/0223
,,"GHAZIABAD, UTTAR PRADESH GAZHIABAD - 201009 UTTAR PRADESH",UP/0330
,,"H.NO 8-84/14/13,SURVEY NO.691,SHED NO.1, SAI GEETHA ASHRAM ROAD,DEVAR YAMJAL HYDERABAD,TELANGANA",TG/0028
,,"260 Mankundu Station Rd.,Sambhu More, Chandannagar, Hooghly.",WB/0200-012
,,"Plot No-72A-75A Deepak Vihar Main Rd. Khoda, Dist.Ghaziabad UP",UP/0281-018
,,"12,13,14 Sector-03, Vasundhara Ghaziabad U.P.",UP/0281-021
,,"G.R Plaza, Station Road Mohalla Sarojini Naidu Marg Tehsil & Dist. Firojabad",UP/0301
,,"Nawab Palace, Barthana Chowk, Farukhabad Road, Etawah.",UP/0281-036
,,"Khasra No. 373, Kunjwani Bye pass Jammu, J&K",JK/0033
,,"Bhau Plaza,Rail Head Complex, Opp.LIC Building,Jammu ,J&K",JK/0033-001
,,"59 Jessore Road,Barasat, Kolkata, W.B.",WB/0200-003
,,"Shyampur Road,Khalore, Bagnan",WB/0200-010
,,"Arora Palace, Near New Bus Stand, Pipli Road, Kurukshetra, Haryana",HR/0107-019
,,"LwrGrndFlr,MC UnitNo.Y-1609A,B,C Hansi Rd, Bhiwani, Haryana",HR/0107-011
,,"S.G.A.D. Complex,Nanital Road Rudrapur,Uttarakhand",UL/0061-005
,,"167,Vijay Ratan Chownk, Sadar Bazar Ambala Cant, Haryana",HR/0107-010
,,"Khasra No-292/2,292/1,291 Maheshpur Kashipur-Uttrakhand",UL/0061-003
,,6/3 South Side G.T. Road Silver City Ghazibad,UP/0281-022
,,"Mangal City Plot No.A-1,PU-4 Commercial Scheme No.54 Indore M.P.",MP/0091-001
,,"City Centre, Plot No. 1, Press Complex, Zone-1,Bhopal",MP/0091-002
,,"MunicipalNo-3/141/A,Mahalla Aamliya Deepak Picture Hall,Sailana Rd,Ratlam,MP",MP/0091-005
,,"Plot No. A-59, Kalani Bagh Colony, Dewas, M.P.",MP/0091
,,"Titanium,932,Wright Town Jabalpur Madhya Pradesh",MP/0091-009
,,"MSG Business Park,Satnam Nursing Home Complex ,Makronia Sagar",MP/0091-007
,,"Plot No-7,Ward-58,Zone-13,colony Narmada Nagar,Annapurna Rd.",MP/0091-004
,,"SPS Mall Vill.Urahat,G.No-62 Municipal Ward N.H-7 Tehsil Huzur,Rewa",MP/0091-006
,,"87, 87/1, 87/2, 87/3 Vishwa Vidalya Marg Madhav Club Road Ujjain",MP/0091-008
,,"Maa Tulsi Shopping Complex No.1, Station Rd. Lal Bagh,Distt. Burhanpur",MP/0091-010
