itemcode,fgcode,chain_id,chain name
108017342,F0321-002,2,Future Retail Limited
109001436,F0233-001,2,Future Retail Limited
109001453,F0244-006,2,Future Retail Limited
109001465,F0215-001,2,Future Retail Limited
1001638577,F0525-001,2,Future Retail Limited
109001501,T0291-001,2,Future Retail Limited
109001518,F0055-001,2,Future Retail Limited
300164781,F0056-001,2,Future Retail Limited
300310617,F0088-004,2,Future Retail Limited
300310618,F0089-006,2,Future Retail Limited
300337354,F0091-005,2,Future Retail Limited
300352540,F0169-001,2,Future Retail Limited
300397868,F0049-002,2,Future Retail Limited
300452928,F0099-016,2,Future Retail Limited
300465603,F0428-001,2,Future Retail Limited
300465604,F0431-001,2,Future Retail Limited
300466041,T0001-003,2,Future Retail Limited
300467072,F0214-001,2,Future Retail Limited
300467073,F0199-001,2,Future Retail Limited
300467075,F0194-001,2,Future Retail Limited
300467076,F0212-001,2,Future Retail Limited
300467220,F0201-001,2,Future Retail Limited
300467457,F0207-001,2,Future Retail Limited
300467459,F0204-001,2,Future Retail Limited
300467461,F0198-003,2,Future Retail Limited
300467464,F0196-001,2,Future Retail Limited
300467465,F0193-005,2,Future Retail Limited
300482734,F0244-006,2,Future Retail Limited
300482735,F0048-001,2,Future Retail Limited
300589237,F0320-002,2,Future Retail Limited
300589240,F0319-002,2,Future Retail Limited
300603129,F0210-001,2,Future Retail Limited
300603130,F0387-002,2,Future Retail Limited
300651163,F0031-001,2,Future Retail Limited
300693708,F0097-018,2,Future Retail Limited
300696628,F0095-020,2,Future Retail Limited
300710636,F0432-001,2,Future Retail Limited
300710658,F0440-001,2,Future Retail Limited
300710677,F0438-001,2,Future Retail Limited
300737897,F0094-016,2,Future Retail Limited
300775197,F0034-001,2,Future Retail Limited
300775198,F0032-001,2,Future Retail Limited
300775202,F0096-014,2,Future Retail Limited
300793678,F0098-014,2,Future Retail Limited
300826034,F0162-005,2,Future Retail Limited
300826048,F0158-004,2,Future Retail Limited
300846392,T0291-001,2,Future Retail Limited
300898106,F0441-001,2,Future Retail Limited
300903641,T0037-006,2,Future Retail Limited
300959794,F0187-001,2,Future Retail Limited
300959811,F0185-001,2,Future Retail Limited
300959989,T0036-005,2,Future Retail Limited
1000038699,F0049-002,2,Future Retail Limited
1000061204,F0167-001,2,Future Retail Limited
1000061205,F0216-001,2,Future Retail Limited
1000061206,F0220-001,2,Future Retail Limited
1000061215,F0217-001,2,Future Retail Limited
1000061216,F0218-001,2,Future Retail Limited
1000061217,F0206-001,2,Future Retail Limited
1000062360,F0404-001,2,Future Retail Limited
1000097196,F0033-001,2,Future Retail Limited
1000098036,F0035-001,2,Future Retail Limited
1000098045,F0037-001,2,Future Retail Limited
1000098051,F0036-001,2,Future Retail Limited
1000098113,F0038-001,2,Future Retail Limited
1000099195,F0355-001,2,Future Retail Limited
1000099225,F0356-001,2,Future Retail Limited
1000099243,F0357-001,2,Future Retail Limited
1000209038,F0313-003,2,Future Retail Limited
1000209063,F0311-003,2,Future Retail Limited
1000260622,F0306-004,2,Future Retail Limited
1000469216,F0307-004,2,Future Retail Limited
1000599673,F0328-003,2,Future Retail Limited
1000765392,F0216-001,2,Future Retail Limited
1000845125,F0365-001,2,Future Retail Limited
1000845139,F0369-001,2,Future Retail Limited
1000845176,F0371-001,2,Future Retail Limited
1000845340,F0367-001,2,Future Retail Limited
1000857867,F0386-001,2,Future Retail Limited
1000857868,F0383-001,2,Future Retail Limited
1000857885,F0384-001,2,Future Retail Limited
1000857886,F0385-001,2,Future Retail Limited
1001175369,F0202-001,2,Future Retail Limited
1002105968,F0609-001,2,Future Retail Limited
100014098,T0291-001,33,CP Wholesale India Private Limited
100014119,F0321-002,33,CP Wholesale India Private Limited
100014151,F0097-018,33,CP Wholesale India Private Limited
100014178,F0099-016,33,CP Wholesale India Private Limited
100015015,F0095-020,33,CP Wholesale India Private Limited
100015031,F0089-006,33,CP Wholesale India Private Limited
100015058,F0162-005,33,CP Wholesale India Private Limited
100015074,F0313-003,33,CP Wholesale India Private Limited
100015091,F0307-004,33,CP Wholesale India Private Limited
100015111,F0311-003,33,CP Wholesale India Private Limited
100015138,F0306-004,33,CP Wholesale India Private Limited
100026056,F0097-018,33,CP Wholesale India Private Limited
100026072,F0095-020,33,CP Wholesale India Private Limited
100028107,F0432-001,33,CP Wholesale India Private Limited
103666109,F0038-001,33,CP Wholesale India Private Limited
103666703,F0428-001,33,CP Wholesale India Private Limited
103666747,F0432-001,33,CP Wholesale India Private Limited
103667576,F0319-002,33,CP Wholesale India Private Limited
103667578,F0035-001,33,CP Wholesale India Private Limited
103669122,F0095-020,33,CP Wholesale India Private Limited
103669597,F0037-001,33,CP Wholesale India Private Limited
103683856,F0328-003,33,CP Wholesale India Private Limited
104451810,F0534-001,33,CP Wholesale India Private Limited
104451813,F0431-001,33,CP Wholesale India Private Limited
104451771,F0640-001,33,CP Wholesale India Private Limited
30071943,F0607-001,24,H & B Stores Limited
30004423,F0055-001,24,H & B Stores Limited
30004431,F0244-006,24,H & B Stores Limited
30004433,F0201-001,24,H & B Stores Limited
30004438,F0199-001,24,H & B Stores Limited
30004440,F0214-001,24,H & B Stores Limited
30004442,F0194-001,24,H & B Stores Limited
30004453,F0207-001,24,H & B Stores Limited
30004457,F0204-001,24,H & B Stores Limited
30004458,F0204-001,24,H & B Stores Limited
30004459,F0215-001,24,H & B Stores Limited
30004464,F0428-001,24,H & B Stores Limited
30004471,T0291-001,24,H & B Stores Limited
30004473,F0233-001,24,H & B Stores Limited
30004476,F0193-005,24,H & B Stores Limited
30004480,F0048-001,24,H & B Stores Limited
30017147,F0088-004,24,H & B Stores Limited
30020099,F0431-001,24,H & B Stores Limited
30020100,F0440-001,24,H & B Stores Limited
30020104,T0001-003,24,H & B Stores Limited
