CPW ARTICLE,Camlin PRODUCT CODE
103711953,4521546
103711929,4522547
103665093,4522552
103664899,4426371
103719773,4433541
103711921,4329538
103665449,4329525
103665457,4386288
103711937,4193588
103665643,4192566
103711931,4044555
103664901,4044524
103711933,4906514
103664913,3806518
103719831,3910519
103665467,3818370
103665295,4019272
103711911,9900501
103711943,9900503
103666609,9900504
103665303,4899238
103719989,4899226
103664563,6800114
103665843,7085009
103665305,9900378
103719777,5636000
103719873,8022388
103719969,8017387
103665841,8023386
103670921,7787203
103665849,1132203172
103665845,1152203180
103665313,1152203280
