Customer Item code,Camlin PRODUCT CODE,Master Dealer ID,Chain name
103711953,4521546,33,CP Wholesale
103711929,4522547,33,CP Wholesale
103665093,4522552,33,CP Wholesale
103664899,4426371,33,CP Wholesale
103719773,4433541,33,CP Wholesale
103711921,4329538,33,CP Wholesale
103665449,4329525,33,CP Wholesale
103665457,4386288,33,CP Wholesale
103711937,4193588,33,CP Wholesale
103665643,4192566,33,CP Wholesale
103711931,4044555,33,CP Wholesale
103664901,4044524,33,CP Wholesale
103711933,4906514,33,CP Wholesale
103664913,3806518,33,CP Wholesale
103719831,3910519,33,CP Wholesale
103665467,3818370,33,CP Wholesale
103665295,4019272,33,CP Wholesale
103711911,9900501,33,CP Wholesale
103711943,9900503,33,CP Wholesale
103666609,9900504,33,CP Wholesale
103665303,4899238,33,CP Wholesale
103719989,4899226,33,CP Wholesale
103664563,6800114,33,CP Wholesale
103665843,7085009,33,CP Wholesale
103665305,9900378,33,CP Wholesale
103719777,5636000,33,CP Wholesale
103719873,8022388,33,CP Wholesale
103719969,8017387,33,CP Wholesale
103665841,8023386,33,CP Wholesale
103670921,7787203,33,CP Wholesale
103665849,1132203172,33,CP Wholesale
103665845,1152203180,33,CP Wholesale
103665313,1152203280,33,CP Wholesale
200568215,105701,,Crossword
200568302,111702,,Crossword
200568226,205711,,Crossword
200568227,211712,,Crossword
200575153,805721,,Crossword
200568219,811722,,Crossword
200734304-4,1304731,,Crossword
200568220,1406741,,Crossword
200568218,530933,,Crossword
200258124,337707,,Crossword
200710710-7,442654,,Crossword
200704149,443655,,Crossword
200258126,7000953,,Crossword
200258127,7000954,,Crossword
200258206,2066762,,Crossword
200568307,2067763,,Crossword
200568228,2235802,,Crossword
200568229,2235803,,Crossword
200568232,2235806,,Crossword
200568234,2235807,,Crossword
200620994-5,2235809,,Crossword
200656255-8,2235831,,Crossword
200656256-3,2235832,,Crossword
200568235,2205114,,Crossword
200568238,2205116,,Crossword
200348418,2206602,,Crossword
200568225,3006629,,Crossword
200258144,2911628,,Crossword
200541852,3304639,,Crossword
200568222,2206606,,Crossword
200568223,2206610,,Crossword
200568221,2209600,,Crossword
200734305-9,519273,,Crossword
200472026,4522552,,Crossword
200704147,4522285,,Crossword
200719541-0,4410947,,Crossword
200676336,9306295,,Crossword
200710713,4426371,,Crossword
200676339,4417347,,Crossword
200701700,4426318,,Crossword
200704148,4329286,,Crossword
200441959,4329525,,Crossword
200441961,4329540,,Crossword
200676341,4386288,,Crossword
200701699-3,4329319,,Crossword
200734299-5,4147320,,Crossword
200710714,4044524,,Crossword
200710715,4906514,,Crossword
200676342,4629351,,Crossword
200472033,3604502,,Crossword
200472018,3806518,,Crossword
200734301-9,3809520,,Crossword
200531073,1109201002,,Crossword
200531074,1109201003,,Crossword
200619348,4019272,,Crossword
200710717,4024110,,Crossword
200469209,9900502,,Crossword
200469215,9900503,,Crossword
200710718,9900357,,Crossword
200651076,9900954,,Crossword
200469217,9900504,,Crossword
200597382,4899238,,Crossword
200734300-4,6807212,,Crossword
200491549,6800114,,Crossword
200710720,9900354,,Crossword
200710737-0,9900378,,Crossword
200710738,7085155,,Crossword
200431744,5248482,,Crossword
200710721,5205170,,Crossword
200701704,7700198,,Crossword
200417856,7270002,,Crossword
200531070,7268001,,Crossword
200418828,7287001,,Crossword
200638010,7289130,,Crossword
200573747,4907326,,Crossword
200710716,4917159,,Crossword
200719539,2070698,,Crossword
200719806,2070699,,Crossword
200719807,2074694,,Crossword
200719808,2074695,,Crossword
200719809,2075696,,Crossword
200719810,2075697,,Crossword
200734302-4,8023386,,Crossword
200734303-9,8030385,,Crossword
200734306,4505477,,Crossword
200734307-9,4899877,,Crossword
200531066,4294573,,Crossword
200531067,4294576,,Crossword
600020311,4521546,9,D Mart
600020314,4522552,9,D Mart
600020308,4329538,9,D Mart
600018280,4329542,9,D Mart
600065101,4329540,9,D Mart
600018284,4044555,9,D Mart
600076495,3738524,9,D Mart
600018278,3806518,9,D Mart
600065105,9900501,9,D Mart
600065106,9900502,9,D Mart
600065293,9900503,9,D Mart
600065294,9900504,9,D Mart
600020319,4899226,9,D Mart
600067104,6800114,9,D Mart
600029704,5248482,9,D Mart
600065107,4814501,9,D Mart
600078820,7205194,9,D Mart
600078817,7205193,9,D Mart
600078819,7205195,9,D Mart
600020325,4192566,9,D Mart
600070670,1112201176,9,D Mart
600065109,1132203172,9,D Mart
600075227,1132204172,9,D Mart
600075228,1132205172,9,D Mart
600070672,1132201172,9,D Mart
600078848,1132208172,9,D Mart
600065111,1142203172,9,D Mart
600070673,1142201172,9,D Mart
600069564,1182201160,9,D Mart
600065113,1152203144,9,D Mart
600065114,1152203180,9,D Mart
600065115,1152203280,9,D Mart
600075155,1152201140,9,D Mart
600078816,1152201280,9,D Mart
1000940128,4522547,2,Future Retail
1002065541,4522549,2,Future Retail
300286082,4522552,2,Future Retail
300286077,4523555,2,Future Retail
1002065418,4523520,2,Future Retail
1000941606,4522285,2,Future Retail
1001829115,4410947,2,Future Retail
1000941622,4426371,2,Future Retail
300286036,4433543,2,Future Retail
300286060,4433541,2,Future Retail
1000681163,4417347,2,Future Retail
1002065535,4435528,2,Future Retail
1001828980,4329286,2,Future Retail
300286062,4329538,2,Future Retail
300286066,4329542,2,Future Retail
300286064,4329536,2,Future Retail
1002065507,4329319,2,Future Retail
1000940129,4329525,2,Future Retail
1000077861,4335524,2,Future Retail
1000681069,4386288,2,Future Retail
300286034,4193588,2,Future Retail
300332690,4192566,2,Future Retail
300286027,4044555,2,Future Retail
1000845377,4044524,2,Future Retail
1002065506,4906514,2,Future Retail
301010361,3738524,2,Future Retail
300285996,3739515,2,Future Retail
300285971,3604502,2,Future Retail
1002065436,3605506,2,Future Retail
300286001,3806518,2,Future Retail
1000946400,4946115,2,Future Retail
300286079,4018271,2,Future Retail
1000856966,4019272,2,Future Retail
1000006620,9900503,2,Future Retail
1000006605,9900504,2,Future Retail
1000946167,9900954,2,Future Retail
