Chain name,Master Dealer Id Intouch,Customer account,Site Code
Airplaza Retail Holdings Private Limited,26,GJ/0163,HG05
Airplaza Retail Holdings Private Limited,26,HP/0034,HI02
Airplaza Retail Holdings Private Limited,26,HP/0034-001,HI03
Airplaza Retail Holdings Private Limited,26,HP/0034-002,HI06
Airplaza Retail Holdings Private Limited,26,HP/0034-003,HI01
Airplaza Retail Holdings Private Limited,26,HP/0034-004,HI05
Airplaza Retail Holdings Private Limited,26,HP/0034-005,HI04
Airplaza Retail Holdings Private Limited,26,HP/0034-006,HI07
Airplaza Retail Holdings Private Limited,26,HP/0034-007,HI09
Airplaza Retail Holdings Private Limited,26,HP/0034-008,HI08
Airplaza Retail Holdings Private Limited,26,HP/0034-009,HI10
Airplaza Retail Holdings Private Limited,26,HP/0034-010,HI11
Airplaza Retail Holdings Private Limited,26,HR/0107-001,HH01
Airplaza Retail Holdings Private Limited,26,HR/0107-002,HH13
Airplaza Retail Holdings Private Limited,26,HR/0107-003,HH03
Airplaza Retail Holdings Private Limited,26,HR/0107-004,HH05
Airplaza Retail Holdings Private Limited,26,HR/0107-025,HH31
Airplaza Retail Holdings Private Limited,26,HR/0107-005,HH11
Airplaza Retail Holdings Private Limited,26,HR/0107-010,HH24
Airplaza Retail Holdings Private Limited,26,HR/0107-011,HH19
Airplaza Retail Holdings Private Limited,26,HR/0107-019,HH07
Airplaza Retail Holdings Private Limited,26,HR/0107-020,HH20
Airplaza Retail Holdings Private Limited,26,HR/0107-022,HH12
Airplaza Retail Holdings Private Limited,26,HR/0107-023,HH29
Airplaza Retail Holdings Private Limited,26,HR/0107-024,HH30
Airplaza Retail Holdings Private Limited,26,JK/0033,HX01
Airplaza Retail Holdings Private Limited,26,JK/0033-001,HX02
Airplaza Retail Holdings Private Limited,26,JK/0033-002,HX03
Airplaza Retail Holdings Private Limited,26,JK/0033-003,HX04
Airplaza Retail Holdings Private Limited,26,MP/0091,HY10
Airplaza Retail Holdings Private Limited,26,MP/0091-001,HY02
Airplaza Retail Holdings Private Limited,26,MP/0091-002,HY04
